,state_change_user_id,state_change_date,state,id_number,id_type,type,name,complete_name,person_ptr_id,legal_type
22,1,2022-04-06 18:31:44.852865+00:00,1,890328485,1,1,Productos de Caucho y Lona,Productos de Caucho y Lona S.A.S.,890328485,1
23,1,2022-04-06 18:31:45.048932+00:00,1,900858114,1,1,Arquimaderas,Arquimaderas S.A.S.,900858114,1
24,1,2022-04-06 18:31:45.061851+00:00,1,800136505,1,1,Datecsa,Datecsa S.A.,800136505,0
25,1,2022-04-06 18:31:45.073977+00:00,1,901257178,1,1,Diesel Lujo Ferreteria Al Costo,Diesel Lujo Ferreteria Al Costo S.A.S.,901257178,1
26,1,2022-04-06 18:31:45.093132+00:00,1,890323635,1,1,El Comercio ELectrico,El Comercio ELectrico LTDA.,890323635,2
27,1,2022-04-06 18:31:45.106788+00:00,1,890304345,1,1,Electricos del Valle,Electricos del Valle S.A.,890304345,0
28,1,2022-04-06 18:31:45.120565+00:00,1,901439406,1,1,Electo Iluminaciones EH,Electo Iluminaciones EH S.A.S.,901439406,1
29,1,2022-04-06 18:31:45.140277+00:00,1,901462569,1,1,Ferreteria 5A Norte,Ferreteria 5A Norte S.A.S.,901462569,1
30,1,2022-04-06 18:31:45.153422+00:00,1,890308587,1,1,Ferreteria Barbosa y Cia,Ferreteria Barbosa y Cia S.A.S.,890308587,1
31,1,2022-04-06 18:31:45.165745+00:00,1,860067998,1,1,Ferreteria Miltialambres,Ferreteria Miltialambres S.A.S.,860067998,1
32,1,2022-04-06 18:31:45.181497+00:00,1,901042248,1,1,Ferretornillos Arlex,Ferretornillos Arlex S.A.S.,901042248,1
33,1,2022-04-06 18:31:45.202838+00:00,1,900420715,1,1,Grupo Empresarial Silver,Grupo Empresarial Silver S.A.S.,900420715,1
34,1,2022-04-06 18:31:45.216187+00:00,1,901149951,1,1,La Bodeguita Cotic,La Bodeguita Cotic S.A.S.,901149951,1
35,1,2022-04-06 18:31:45.254707+00:00,1,805004110,1,1,Uniescolar Papeleria,Uniescolar Papeleria LTDA.,805004110,2
36,1,2022-04-12 18:57:17.012340+00:00,1,901411596,1,1,Sepia Arte y Diseño,Sepia Arte y Diseño S.A.S.,901411596,1
37,1,2022-04-18 16:08:03.827785+00:00,1,901159918,1,1,Ingeideas Laser,Ingeideas Laser S.A.S.,901159918,1
38,1,2022-04-28 16:46:29.206457+00:00,1,805020753,1,1,Frenos y Direcciones Valencia D.Y Cia,Frenos y Direcciones Valencia D.Y Cia LTDA.,805020753,2
39,1,2022-04-19 19:34:18.779372+00:00,1,890304130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890304130,1
40,1,2022-04-22 16:28:44.963003+00:00,1,900042300,1,1,Distriferretera de Colombia,Distriferretera de Colombia S.A.S.,900042300,1
41,1,2022-04-26 15:32:03.498552+00:00,1,901393460,1,1,Bio Ambar,Bio Ambar S.A.S.,901393460,1
42,1,2022-04-26 15:37:21.242804+00:00,1,900690709,1,1,Transporte Carlos A. Collazos,Transporte Carlos A. Collazos S.A.S.,900690709,1
43,1,2022-04-28 16:57:48.371869+00:00,1,900292996,1,1,Los Alamillos,Los Alamillos S.A.,900292996,0
