,id,realty_id,estate_id,percentage
49,50,A6N-13N-62-S316,760010100020700370004000000004,100.0000
50,51,A6N-13N-62-S317,760010100020700370004000000004,100.0000
51,52,A6N-13N-62-S318,760010100020700370004000000004,100.0000
52,53,A6N-13N-62-S319,760010100020700370004000000004,100.0000
53,54,A6N-13N-62-S320,760010100020700370004000000004,100.0000
54,55,A6N-13N-62-S321,760010100020700370004000000004,100.0000
55,56,A6N-13N-62-S322,760010100020700370004000000004,100.0000
56,57,A6N-13N-66,760010100020700370004000000004,100.0000
57,58,A6N-13N-68,760010100020700370004000000004,100.0000
58,59,K1-17-37,760010100031300020001000000001,100.0000
59,60,K1-17-43,760010100031300020001000000001,100.0000
60,61,K1-17-47,760010100031300020001000000001,100.0000
61,62,K1-17-53,760010100031300020001000000001,100.0000
62,63,K1-17-57,760010100031300020001000000001,100.0000
63,64,K1-17-65,760010100031300020001000000001,100.0000
64,65,C18-1N-33,760010100031300020001000000001,100.0000
65,66,C18-1N-39,760010100031300020001000000001,100.0000
66,67,C18-1N-41,760010100031300020001000000001,100.0000
67,68,C18-1N-43,760010100031300020001000000001,100.0000
68,69,K1B-30-16,760010100040200230001000000001,100.0000
69,70,K1B-30-34,760010100040200230001000000001,100.0000
70,71,K1B-30-52,760010100040200230001000000001,100.0000
71,72,K1B-30-76,760010100040200230001000000001,100.0000
72,73,K2C-30-3,760010100040200230001000000001,100.0000
73,74,K2C-30-9,760010100040200230001000000001,100.0000
74,75,K2C-30-15-B2,760010100040200230001000000001,97.4900
75,76,K2C-30-15-B2,760010100040200230006000000006,2.5100
76,77,K2C-30-15-B3,760010100040200230001000000001,52.6900
77,78,K2C-30-15-B3,760010100040200230006000000006,47.3100
78,79,K2C-30-27,760010100040200230001000000001,57.8500
79,80,K2C-30-27,760010100040200230006000000006,42.1500
80,81,K2C-30-29,760010100040200230001000000001,100.0000
81,82,K2C-30-51,760010100040200230001000000001,100.0000
82,83,C30-1B-13,760010100040200230001000000001,100.0000
83,84,C30-1B-15-B1,760010100040200230001000000001,100.0000
84,85,C30-1B-15-B2,760010100040200230001000000001,100.0000
85,86,C30-1B-15-B3,760010100040200230001000000001,100.0000
86,87,C30-1B-15-B5,760010100040200230001000000001,100.0000
87,88,C30-1B-27,760010100040200230001000000001,100.0000
88,89,C30-1B-31,760010100040200230001000000001,100.0000
89,90,C31-1B-4,760010100040200230002000000002,100.0000
90,91,C31-1B-24,760010100040200230001000000001,37.7600
91,92,C31-1B-24,760010100040200230002000000002,61.2400
92,93,C31-1B-34,760010100040200230001000000001,32.7900
93,94,C31-1B-34,760010100040200230003000000003,67.2100
94,95,C31-1B-44,760010100040200230001000000001,85.9300
95,96,C31-1B-44,760010100040200230003000000003,12.6900
96,97,C31-1B-44,760010100040200230004000000004,1.3800
97,98,C31-1B-54,760010100040200230004000000004,95.0600
98,99,C31-1B-54,760010100040200230005000000005,4.9400
99,100,C31-1B-64,760010100040200230001000000001,100.0000
100,101,C31-1B-74,760010100040200230001000000001,100.0000
101,102,C31-1B-80,760010100040200230001000000001,100.0000
102,103,K2C-29-36,760010100040100050006000000006,100.0000
103,104,K1-35-29-B9,760010100041700100010000000010,100.0000
104,105,K1-35-29-B11,760010100041700100010000000010,100.0000
