pk,instance
A6N-13N-62-S221^2018-06-15,"[datetime.date(2019, 6, 15), datetime.date(2020, 6, 15), datetime.date(2021, 6, 15), datetime.date(2022, 6, 15)]"
A6N-13N-62-S301^2021-08-01,[]
A6N-13N-62-S302^2021-08-01,[]
A6N-13N-62-S303^2022-03-01,[]
A6N-13N-62-S304^2022-04-01,[]
A6N-13N-62-S305^2021-02-01,"[datetime.date(2022, 2, 1)]"
A6N-13N-62-S306^2018-06-01,"[datetime.date(2019, 6, 1), datetime.date(2020, 6, 1), datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
A6N-13N-62-S308^2022-03-01,[]
A6N-13N-62-S309^2022-03-01,[]
A6N-13N-62-S311^2021-11-01,[]
A6N-13N-62-S312^2007-06-01,"[datetime.date(2008, 6, 1), datetime.date(2009, 6, 1), datetime.date(2010, 6, 1), datetime.date(2011, 6, 1), datetime.date(2012, 6, 1), datetime.date(2013, 6, 1), datetime.date(2014, 6, 1), datetime.date(2015, 6, 1), datetime.date(2016, 6, 1), datetime.date(2017, 6, 1), datetime.date(2018, 6, 1), datetime.date(2019, 6, 1), datetime.date(2020, 6, 1), datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
A6N-13N-62-S314^2019-06-01,"[datetime.date(2020, 6, 1), datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
A6N-13N-66^2019-04-01,"[datetime.date(2020, 4, 1), datetime.date(2021, 4, 1), datetime.date(2022, 4, 1)]"
A6N-13N-68^1999-01-01,"[datetime.date(2000, 1, 1), datetime.date(2001, 1, 1), datetime.date(2002, 1, 1), datetime.date(2003, 1, 1), datetime.date(2004, 1, 1), datetime.date(2005, 1, 1), datetime.date(2006, 1, 1), datetime.date(2007, 1, 1), datetime.date(2008, 1, 1), datetime.date(2009, 1, 1), datetime.date(2010, 1, 1), datetime.date(2011, 1, 1), datetime.date(2012, 1, 1), datetime.date(2013, 1, 1), datetime.date(2014, 1, 1), datetime.date(2015, 1, 1), datetime.date(2016, 1, 1), datetime.date(2017, 1, 1), datetime.date(2018, 1, 1), datetime.date(2019, 1, 1), datetime.date(2020, 1, 1), datetime.date(2021, 1, 1), datetime.date(2022, 1, 1)]"
C18-1N-33^2021-10-01,[]
C18-1N-39^2022-03-01,[]
C18-1N-41^2021-02-01,"[datetime.date(2022, 2, 1)]"
C30-1B-13^2017-05-01,"[datetime.date(2018, 5, 1), datetime.date(2019, 5, 1), datetime.date(2020, 5, 1), datetime.date(2021, 5, 1), datetime.date(2022, 5, 1)]"
C30-1B-15-B1^2020-11-01,"[datetime.date(2021, 11, 1)]"
C30-1B-15-B2^2013-04-15,"[datetime.date(2014, 4, 15), datetime.date(2015, 4, 15), datetime.date(2016, 4, 15), datetime.date(2017, 4, 15), datetime.date(2018, 4, 15), datetime.date(2019, 4, 15), datetime.date(2020, 4, 15), datetime.date(2021, 4, 15), datetime.date(2022, 4, 15)]"
C30-1B-15-B3^2017-10-01,"[datetime.date(2018, 10, 1), datetime.date(2019, 10, 1), datetime.date(2020, 10, 1), datetime.date(2021, 10, 1)]"
C30-1B-15-B5^2019-04-01,"[datetime.date(2020, 4, 1), datetime.date(2021, 4, 1), datetime.date(2022, 4, 1)]"
C30-1B-27^2014-09-01,"[datetime.date(2015, 9, 1), datetime.date(2016, 9, 1), datetime.date(2017, 9, 1), datetime.date(2018, 9, 1), datetime.date(2019, 9, 1), datetime.date(2020, 9, 1), datetime.date(2021, 9, 1)]"
C30-1B-31^2019-11-01,"[datetime.date(2020, 11, 1), datetime.date(2021, 11, 1)]"
C31-1B-24^2016-02-15,"[datetime.date(2017, 2, 15), datetime.date(2018, 2, 15), datetime.date(2019, 2, 15), datetime.date(2020, 2, 15), datetime.date(2021, 2, 15), datetime.date(2022, 2, 15)]"
C31-1B-24^2018-05-01,"[datetime.date(2019, 5, 1), datetime.date(2020, 5, 1), datetime.date(2021, 5, 1), datetime.date(2022, 5, 1)]"
C31-1B-34^2004-08-01,"[datetime.date(2005, 8, 1), datetime.date(2006, 8, 1), datetime.date(2007, 8, 1), datetime.date(2008, 8, 1), datetime.date(2009, 8, 1), datetime.date(2010, 8, 1), datetime.date(2011, 8, 1), datetime.date(2012, 8, 1), datetime.date(2013, 8, 1), datetime.date(2014, 8, 1), datetime.date(2015, 8, 1), datetime.date(2016, 8, 1), datetime.date(2017, 8, 1), datetime.date(2018, 8, 1), datetime.date(2019, 8, 1), datetime.date(2020, 8, 1), datetime.date(2021, 8, 1)]"
C31-1B-44^2013-12-03,"[datetime.date(2014, 12, 3), datetime.date(2015, 12, 3), datetime.date(2016, 12, 3), datetime.date(2017, 12, 3), datetime.date(2018, 12, 3), datetime.date(2019, 12, 3), datetime.date(2020, 12, 3), datetime.date(2021, 12, 3)]"
C31-1B-4^2009-01-01,"[datetime.date(2010, 1, 1), datetime.date(2011, 1, 1), datetime.date(2012, 1, 1), datetime.date(2013, 1, 1), datetime.date(2014, 1, 1), datetime.date(2015, 1, 1), datetime.date(2016, 1, 1), datetime.date(2017, 1, 1), datetime.date(2018, 1, 1), datetime.date(2019, 1, 1), datetime.date(2020, 1, 1), datetime.date(2021, 1, 1), datetime.date(2022, 1, 1)]"
C31-1B-54^2016-02-15,"[datetime.date(2017, 2, 15), datetime.date(2018, 2, 15), datetime.date(2019, 2, 15), datetime.date(2020, 2, 15), datetime.date(2021, 2, 15), datetime.date(2022, 2, 15)]"
C31-1B-64^2018-12-01,"[datetime.date(2019, 12, 1), datetime.date(2020, 12, 1), datetime.date(2021, 12, 1)]"
C31-1B-74^2012-12-07,"[datetime.date(2013, 12, 7), datetime.date(2014, 12, 7), datetime.date(2015, 12, 7), datetime.date(2016, 12, 7), datetime.date(2017, 12, 7), datetime.date(2018, 12, 7), datetime.date(2019, 12, 7), datetime.date(2020, 12, 7), datetime.date(2021, 12, 7)]"
C31-1B-80^2013-06-01,"[datetime.date(2014, 6, 1), datetime.date(2015, 6, 1), datetime.date(2016, 6, 1), datetime.date(2017, 6, 1), datetime.date(2018, 6, 1), datetime.date(2019, 6, 1), datetime.date(2020, 6, 1), datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
K1-17-37^2012-02-01,"[datetime.date(2013, 2, 1), datetime.date(2014, 2, 1), datetime.date(2015, 2, 1), datetime.date(2016, 2, 1), datetime.date(2017, 2, 1), datetime.date(2018, 2, 1), datetime.date(2019, 2, 1), datetime.date(2020, 2, 1), datetime.date(2021, 2, 1), datetime.date(2022, 2, 1)]"
K1-17-43^2017-07-15,"[datetime.date(2018, 7, 15), datetime.date(2019, 7, 15), datetime.date(2020, 7, 15), datetime.date(2021, 7, 15)]"
K1-17-47^2021-10-01,[]
K1-17-53^2017-06-01,"[datetime.date(2018, 6, 1), datetime.date(2019, 6, 1), datetime.date(2020, 6, 1), datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
K1-17-57^2001-09-01,"[datetime.date(2002, 9, 1), datetime.date(2003, 9, 1), datetime.date(2004, 9, 1), datetime.date(2005, 9, 1), datetime.date(2006, 9, 1), datetime.date(2007, 9, 1), datetime.date(2008, 9, 1), datetime.date(2009, 9, 1), datetime.date(2010, 9, 1), datetime.date(2011, 9, 1), datetime.date(2012, 9, 1), datetime.date(2013, 9, 1), datetime.date(2014, 9, 1), datetime.date(2015, 9, 1), datetime.date(2016, 9, 1), datetime.date(2017, 9, 1), datetime.date(2018, 9, 1), datetime.date(2019, 9, 1), datetime.date(2020, 9, 1), datetime.date(2021, 9, 1)]"
K1-35-29-B11^2020-08-01,"[datetime.date(2021, 8, 1)]"
K1-35-29-B9^2021-09-01,[]
K1B-30-16^2006-05-10,"[datetime.date(2007, 5, 10), datetime.date(2008, 5, 10), datetime.date(2009, 5, 10), datetime.date(2010, 5, 10), datetime.date(2011, 5, 10), datetime.date(2012, 5, 10), datetime.date(2013, 5, 10), datetime.date(2014, 5, 10), datetime.date(2015, 5, 10), datetime.date(2016, 5, 10), datetime.date(2017, 5, 10), datetime.date(2018, 5, 10), datetime.date(2019, 5, 10), datetime.date(2020, 5, 10), datetime.date(2021, 5, 10), datetime.date(2022, 5, 10)]"
K1B-30-34^2013-09-01,"[datetime.date(2014, 9, 1), datetime.date(2015, 9, 1), datetime.date(2016, 9, 1), datetime.date(2017, 9, 1), datetime.date(2018, 9, 1), datetime.date(2019, 9, 1), datetime.date(2020, 9, 1), datetime.date(2021, 9, 1)]"
K1B-30-52^1970-01-01,"[datetime.date(1971, 1, 1), datetime.date(1972, 1, 1), datetime.date(1973, 1, 1), datetime.date(1974, 1, 1), datetime.date(1975, 1, 1), datetime.date(1976, 1, 1), datetime.date(1977, 1, 1), datetime.date(1978, 1, 1), datetime.date(1979, 1, 1), datetime.date(1980, 1, 1), datetime.date(1981, 1, 1), datetime.date(1982, 1, 1), datetime.date(1983, 1, 1), datetime.date(1984, 1, 1), datetime.date(1985, 1, 1), datetime.date(1986, 1, 1), datetime.date(1987, 1, 1), datetime.date(1988, 1, 1), datetime.date(1989, 1, 1), datetime.date(1990, 1, 1), datetime.date(1991, 1, 1), datetime.date(1992, 1, 1), datetime.date(1993, 1, 1), datetime.date(1994, 1, 1), datetime.date(1995, 1, 1), datetime.date(1996, 1, 1), datetime.date(1997, 1, 1), datetime.date(1998, 1, 1), datetime.date(1999, 1, 1), datetime.date(2000, 1, 1), datetime.date(2001, 1, 1), datetime.date(2002, 1, 1), datetime.date(2003, 1, 1), datetime.date(2004, 1, 1), datetime.date(2005, 1, 1), datetime.date(2006, 1, 1), datetime.date(2007, 1, 1), datetime.date(2008, 1, 1), datetime.date(2009, 1, 1), datetime.date(2010, 1, 1), datetime.date(2011, 1, 1), datetime.date(2012, 1, 1), datetime.date(2013, 1, 1), datetime.date(2014, 1, 1), datetime.date(2015, 1, 1), datetime.date(2016, 1, 1), datetime.date(2017, 1, 1), datetime.date(2018, 1, 1), datetime.date(2019, 1, 1), datetime.date(2020, 1, 1), datetime.date(2021, 1, 1), datetime.date(2022, 1, 1)]"
K1B-30-52^2018-05-01,"[datetime.date(2019, 5, 1), datetime.date(2020, 5, 1), datetime.date(2021, 5, 1), datetime.date(2022, 5, 1)]"
K2C-29-36^2017-04-01,"[datetime.date(2018, 4, 1), datetime.date(2019, 4, 1), datetime.date(2020, 4, 1), datetime.date(2021, 4, 1), datetime.date(2022, 4, 1)]"
K2C-30-15-B2^2019-07-01,"[datetime.date(2020, 7, 1), datetime.date(2021, 7, 1), datetime.date(2022, 7, 1)]"
K2C-30-15-B3^2013-06-01,"[datetime.date(2014, 6, 1), datetime.date(2015, 6, 1), datetime.date(2016, 6, 1), datetime.date(2017, 6, 1), datetime.date(2018, 6, 1), datetime.date(2019, 6, 1), datetime.date(2020, 6, 1), datetime.date(2021, 6, 1), datetime.date(2022, 6, 1)]"
K2C-30-27^2020-10-01,"[datetime.date(2021, 10, 1)]"
K2C-30-29^2019-11-01,"[datetime.date(2020, 11, 1), datetime.date(2021, 11, 1)]"
K2C-30-51^2021-12-01,[]
