code,name,errors
1220,cedulas,[]
122005,cedulas de capitalizacion,[]
122010,cedulas hipotecarias,[]
122015,cedulas de inversion,[]
122095,otras,[]
1225,certificados,[]
122505,certificados de deposito a termino (c.d.t.),[]
122510,certificados de deposito de ahorro,[]
122515,certificados de ahorro de valor constante (c.a.v.c.),[]
122520,certificados de cambio,[]
122525,certificados cafeteros valorizables,[]
122530,certificados electricos valorizables (c.e.v.),[]
122535,certificados de reembolso tributario (c.e.r.t.),[]
122540,certificados de desarrollo turistico,[]
122545,certificados de inversion forestal (c.i.f.),[]
122595,otros,[]
1230,papeles comerciales,[]
123005,empresas comerciales,[]
123010,empresas industriales,[]
123015,empresas de servicios,[]
1235,titulos,[]
123505,titulos de desarrollo agropecuario,[]
123510,titulos canjeables por certificados de cambio,[]
123515,titulos de tesoreria (t.e.s.),[]
123520,titulos de participacion,[]
123525,titulos de credito de fomento,[]
123530,titulos financieros agroindustriales (t.f.a.),[]
123535,titulos de ahorro cafetero (t.a.c.),[]
123540,titulos de ahorro nacional (t.a.n.),[]
123545,titulos energeticos de rentabilidad creciente (t.e.r.),[]
123550,titulos de ahorro educativo (t.a.e.),[]
123555,titulos financieros  industriales y comerciales,[]
123560,tesoros,[]
123565,titulos de devolucion de impuestos nacionales (tidis),[]
123570,titulos inmobiliarios,[]
123595,otros,[]
1240,aceptaciones bancarias o financieras,[]
124005,bancos comerciales,[]
124010,compañias de financiamiento comercial,[]
124015,corporaciones financieras,[]
124095,otras,[]
1245,derechos fiduciarios,[]
124505,fideicomisos de inversion moneda nacional,[]
124510,fideicomisos de inversion moneda extranjera,[]
1250,derechos de recompra de inversiones negociadas (repos),[]
125005,acciones,[]
125010,cuotas o partes de interes social,[]
125015,bonos,[]
125020,cedulas,[]
125025,certificados,[]
125030,papeles comerciales,[]
125035,titulos,[]
125040,aceptaciones bancarias o financieras,[]
125095,otros,[]
125099,ajustes por inflacion,[]
1255,obligatorias,[]
125505,bonos de financiamiento especial,[]
125510,bonos de financiamiento presupuestal,[]
125515,bonos para desarrollo social y seguridad interna (b.d.s.i.),[]
125595,otras,[]
1260,cuentas en participacion,[]
126099,ajustes por inflacion,[]
1295,otras inversiones,[]
129505,aportes en cooperativas,[]
129510,derechos en clubes sociales,[]
129515,acciones o derechos en clubes deportivos,[]
129520,bonos en colegios,[]
129595,diversas,[]
129599,ajustes por inflacion,[]
1299,provisiones,[]
129905,acciones,[]
129910,cuotas o partes de interes social,[]
129915,bonos,[]
129920,cedulas,[]
129925,certificados,[]
129930,papeles comerciales,[]
129935,titulos,[]
129940,aceptaciones bancarias o financieras,[]
129945,derechos fiduciarios,[]
129950,derechos de recompra de inversiones negociadas,[]
129955,obligatorias,[]
129960,cuentas en participacion,[]
129995,otras inversiones,[]
13,deudores,[]
1305,clientes,[]
130505,nacionales,[]
130510,del exterior,[]
130515,deudores del sistema,[]
1310,cuentas corrientes comerciales,[]
131005,casa matriz,[]
131010,compañias vinculadas,[]
131015,accionistas o socios,[]
131020,particulares,[]
131095,otras,[]
1315,cuentas por cobrar a casa matriz,[]
131505,ventas,[]
131510,pagos a nombre de casa matriz,[]
131515,valores recibidos por casa matriz,[]
131520,prestamos,[]
1320,cuentas por cobrar a vinculados economicos,[]
132005,filiales,[]
132010,subsidiarias,[]
132015,sucursales,[]
1325,cuentas por cobrar a socios y accionistas,[]
132505,a socios,[]
132510,a accionistas,[]
1328,aportes por cobrar,[]
1330,anticipos y avances,[]
133005,a proveedores,[]
133010,a contratistas,[]
133015,a trabajadores,[]
133020,a agentes,[]
133025,a concesionarios,[]
133030,de adjudicaciones,[]
133095,otros,[]
1332,cuentas de operacion conjunta,[]
1335,depositos,[]
133505,para importaciones,[]
133510,para servicios,[]
133515,para contratos,[]
133520,para responsabilidades,[]
133525,para juicios ejecutivos,[]
133530,"para adquisicion de acciones, cuotas o derechos",[]
133535,en garantia,[]
133595,otros,[]
1340,promesas de compra venta,[]
134005,de bienes raices,[]
134010,de maquinaria y equipo,[]
134015,de flota y equipo de transporte,[]
134020,de flota y equipo aereo,[]
134025,de flota y equipo ferreo,[]
134030,de flota y equipo fluvial y/o maritimo,[]
134035,de semovientes,[]
134095,de otros bienes,[]
1345,ingresos por cobrar,[]
134505,dividendos y/o participaciones,[]
134510,intereses,[]
134515,comisiones,[]
134520,honorarios,[]
134525,servicios,[]
134530,arrendamientos,[]
134535,cert por cobrar,[]
134595,otros,[]
1350,retencion sobre contratos,[]
135005,de construccion,[]
135010,de prestacion de servicios,[]
135095,otros,[]
1355,anticipo de impuestos y contribuciones o saldos a favor,[]
135505,anticipo de impuestos de renta y complementarios,[]
135510,anticipo de impuestos de industria y comercio,[]
135515,retencion en la fuente,[]
135517,impuesto a las ventas retenido,[]
135518,impuesto de industria y comercio retenido,[]
135520,sobrantes en liquidacion privada de impuestos,[]
135525,contribuciones,[]
135530,impuestos descontables,[]
135595,otros,[]
1360,reclamaciones,[]
136005,a compañias aseguradoras,[]
136010,a transportadores,[]
136015,por tiquetes aereos,[]
136095,otras,[]
1365,cuentas por cobrar a trabajadores,[]
136505,vivienda,[]
136510,vehiculos,[]
136515,educacion,[]
136520,"medicos, odontologicos y similares",[]
136525,calamidad domestica,[]
136530,responsabilidades,[]
136595,otros,[]
1370,prestamos a particulares,[]
137005,con garantia real,[]
137010,con garantia personal,[]
1380,deudores varios,[]
138005,depositarios,[]
138010,comisionistas de bolsas,[]
138015,fondo de inversion,[]
138020,cuentas por cobrar de terceros,[]
138025,pagos por cuenta de terceros,[]
138030,fondos de inversion social,[]
138095,otros,[]
1385,derechos de recompra de cartera negociada,[]
1390,deudas de dificil cobro,[]
1399,provisiones,[]
139905,clientes,[]
139910,cuentas corrientes comerciales,[]
139915,cuentas por cobrar a casa matriz,[]
139920,cuentas por cobrar a vinculados economicos,[]
139925,cuentas por cobrar a socios y accionistas,[]
139930,anticipos y avances,[]
139932,cuentas de operacion conjunta,[]
139935,depositos,[]
139940,promesas de compraventa,[]
139945,ingresos por cobrar,[]
139950,retencion sobre contratos,[]
139955,reclamaciones,[]
139960,cuentas por cobrar a trabajadores,[]
139965,prestamos a particulares,[]
139975,deudores varios,[]
139980,derechos de recompra de cartera negociada,[]
14,inventarios,[]
1405,materias primas,[]
140599,ajustes por inflacion,[]
1410,productos en proceso,[]
141099,ajustes por inflacion,[]
1415,obras de construccion en curso,[]
141599,ajustes por inflacion,[]
1417,obras de urbanismo,[]
141799,ajustes por inflacion,[]
1420,contratos en ejecucion,[]
142099,ajustes por inflacion,[]
1425,cultivos en desarrollo,[]
142599,ajustes por inflacion,[]
1430,productos terminados,[]
143005,productos manufacturados,[]
143010,productos extraidos y/o procesados,[]
143015,productos agricolas y forestales,[]
143020,subproductos,[]
143025,productos de pesca,[]
143099,ajustes por inflacion,[]
1435,mercancias no fabricadas por la empresa,[]
143599,ajustes por inflacion,[]
1440,bienes raices para la venta,[]
144099,ajustes por inflacion,[]
1445,semovientes,[]
144505,especies mayores,[]
144510,especies menores,[]
144599,ajustes por inflacion,[]
1450,terrenos,[]
145005,por urbanizar,[]
145010,urbanizados por construir,[]
145099,ajustes por inflacion,[]
1455,"materiales, repuestos y accesorios",[]
145505,combustibles y lubricantes,[]
145510,abonos y fertilizantes,[]
145515,semillas terminadas,[]
145520,fungicidas y herbicidas,[]
145525,materiales y repuestos,[]
145530,loza y cristaleria,[]
145535,herramientas,[]
145540,medicinas,[]
145545,elementos hospitalarios,[]
145550,instrumental quirurgico,[]
145555,dotacion y suministro a trabajadores,[]
145560,elementos de roperia y lenceria,[]
145595,otros,[]
145599,ajustes por inflacion,[]
1460,envases y empaques,[]
146099,ajustes por inflacion,[]
1465,inventarios en transito,[]
146599,ajustes por inflacion,[]
1499,provisiones,[]
149905,para obsolescencia,[]
149910,para diferencia de inventario fisico,[]
149915,para perdidas de inventarios,[]
149920,lifo,[]
15,propiedades planta y equipo,[]
1504,terrenos,[]
150405,urbanos,[]
150410,rurales,[]
150499,ajustes por inflacion,[]
1506,materiales proyectos petroleros,[]
150605,tuberias y equipo,[]
150610,costos de importacion materiales,[]
150615,proyectos de construccion,[]
150699,ajustes por inflacion,[]
1508,construcciones en curso,[]
150805,construcciones y edificaciones,[]
150810,acueductos plantas y redes,[]
150815,vias de comunicacion,[]
150820,pozos artesianos,[]
150825,proyectos de exploracion,[]
150830,proyectos de desarrollo,[]
150899,ajustes por inflacion,[]
1512,maquinaria y equipos en montaje,[]
151205,maquinaria y equipo,[]
151210,equipo de oficina,[]
151215,equipo de computacion y comunicacion,[]
151220,equipo medico-cientifico,[]
151225,equipo de hoteles y restaurantes,[]
151230,flota y equipo de transporte,[]
151235,flota y equipo fluvial y/o maritimo,[]
151240,flota y equipo aereo,[]
151245,flota y equipo ferreo,[]
151250,plantas y redes,[]
151299,ajustes por inflacion,[]
1516,construcciones y edificaciones,[]
151605,edificios,[]
151610,oficinas,[]
151615,almacenes,[]
151620,fabricas y plantas industriales,[]
151625,salas de exhibicion y ventas,[]
151630,cafeteria y casinos,[]
151635,silos,[]
151640,invernaderos,[]
151645,casetas y campamentos,[]
151650,instalaciones agropecuarias,[]
151655,viviendas para empleados y obreros,[]
151660,terminal de buses y taxis,[]
151663,terminal maritimo,[]
151665,terminal ferreo,[]
151670,"parqueaderos, garajes y depositos",[]
151675,hangares,[]
151680,bodegas,[]
151695,otros,[]
151699,ajustes por inflacion,[]
1520,maquinaria y equipo,[]
152099,ajustes por inflacion,[]
1524,equipo de oficina,[]
152405,muebles y enseres,[]
152410,equipos,[]
152495,otros,[]
152499,ajustes por inflacion,[]
1528,equipo de computacion y comunicacion,[]
152805,equipos de procesamiento de datos,[]
152810,equipos de telecomunicaciones,[]
152815,equipos de radio,[]
152820,satelites y antenas,[]
152825,lineas telefonicas,[]
152895,otros,[]
152899,ajustes por inflacion,[]
1532,equipo medico - cientifico,[]
153205,medico,[]
153210,odontologico,[]
153215,laboratorio,[]
153220,instrumental,[]
153295,otros,[]
153299,ajustes por inflacion,[]
1536,equipo de hoteles y restaurantes,[]
153605,de habitaciones,[]
153610,de comestibles y bebidas,[]
153695,otros,[]
153699,ajustes por inflacion,[]
1540,flota y equipo de transporte,[]
154005,"autos, camionetas y camperos",[]
154008,"camiones, volquetas y furgones",[]
154010,tractomulas y remolques,[]
154015,buses y busetas,[]
154017,recolectores y contenedores,[]
154020,montacargas,[]
154025,palas y gruas,[]
154030,motocicletas,[]
154035,bicicletas,[]
154040,estibas y carretas,[]
154045,bandas transportadoras,[]
154095,otros,[]
154099,ajustes por inflacion,[]
1544,flota y equipo fluvial y/o maritimo,[]
154405,buques,[]
154410,lanchas,[]
154415,remolcadoras,[]
154420,botes,[]
154425,boyas,[]
154430,amarres,[]
154435,contenedores y chassises,[]
154440,gabarras,[]
154495,otros,[]
154499,ajustes por inflacion,[]
1548,flota y equipo aereo,[]
154805,aviones,[]
154810,avionetas,[]
154815,helicopteros,[]
154820,turbinas y motores,[]
154825,manuales de entrenamiento personal tecnico,[]
154830,equipos de vuelo,[]
154895,otros,[]
154899,ajustes por inflacion,[]
1552,flota y equipo ferreo,[]
155205,locomotoras,[]
155210,vagones,[]
155215,redes ferreas,[]
155295,otros,[]
155299,ajustes por inflacion,[]
1556,acueductos plantas y redes,[]
155605,instalaciones para agua y energia,[]
155610,acueducto acequias y canalizaciones,[]
155615,plantas de generacion hidraulica,[]
155620,plantas de generacion termica,[]
155625,plantas de generacion a gas,[]
155628,"plantas de generacion diesel, gasolina y petroleo",[]
155630,plantas de distribucion,[]
155635,plantas de transmision y subestaciones,[]
155640,oleoductos,[]
155645,gasoductos,[]
155647,poliductos,[]
155650,redes de distribucion,[]
155655,plantas de tratamiento,[]
155660,redes de recoleccion de aguas negras,[]
155665,instalaciones y equipo de bombeo,[]
155670,redes de distribucion de vapor,[]
155675,redes de aire,[]
155680,redes alimentacion de gas,[]
155682,redes externas de telefonia,[]
155685,plantas deshidratadoras,[]
155695,otros,[]
155699,ajustes por inflacion,[]
1560,armamento de vigilancia,[]
156099,ajustes por inflacion,[]
1562,envases y empaques,[]
156299,ajustes por inflacion,[]
1564,plantaciones agricolas y forestales,[]
156405,cultivos en desarrollo,[]
156410,cultivos amortizables,[]
156499,ajustes por inflacion,[]
1568,vias de comunicacion,[]
156805,pavimentacion y patios,[]
156810,vias,[]
156815,puentes,[]
156820,calles,[]
156825,aerodromos,[]
156895,otros,[]
156899,ajustes por inflacion,[]
1572,minas y canteras,[]
157205,minas,[]
157210,canteras,[]
157299,ajustes por inflacion,[]
1576,pozos artesianos,[]
157699,ajustes por inflacion,[]
1580,yacimientos,[]
158099,ajustes por inflacion,[]
1584,semovientes,[]
158405,especies menores,[]
158410,especies mayores,[]
158499,ajustes por inflacion,[]
1588,propiedades planta y equipo en transito,[]
158805,maquinaria y equipo,[]
158810,equipo de oficina,[]
158815,equipo de computacion y comunicacion,[]
158820,equipo medico cientifico,[]
158825,equipo de hoteles y restaurantes,[]
158830,flota y equipo de transporte,[]
158835,flota y equipo fluvial y/o maritimo,[]
158840,flota y equipo aereo,[]
158845,flota y equipo ferreo,[]
158850,plantas y redes,[]
158855,armamento de vigilancia,[]
158860,semovientes,[]
158865,envases y empaques,[]
158899,ajustes por inflacion,[]
1592,depreciacion acumulada,[]
159205,construcciones y edificaciones,[]
159210,maquinaria y equipo,[]
159215,equipo de oficina,[]
159220,equipo de computacion y comunicacion,[]
159225,equipo medico cientifico,[]
159230,equipo de hoteles y restaurantes,[]
159235,flota y equipo de transporte,[]
159240,flota y equipo fluvial y/o maritimo,[]
159245,flota y equipo aereo,[]
159250,flota y equipo ferreo,[]
159255,acueductos plantas y redes,[]
159260,armamento de vigilancia,[]
159265,envases y empaques,[]
159299,ajustes por inflacion,[]
1596,depreciacion diferida,[]
159605,exceso fiscal sobre la contable,[]
159610,defecto fiscal sobre la contable (cr),[]
159699,ajustes por inflacion,[]
1597,amortizacion acumulada,[]
159705,plantaciones agricolas y forestales,[]
159710,vias de comunicacion,[]
159715,semovientes,[]
159799,ajustes por inflacion,[]
1598,agotamiento acumulado,[]
159805,minas y canteras,[]
159815,pozos artesianos,[]
159820,yacimientos,[]
159899,ajustes por inflacion,[]
1599,provisiones,[]
159904,terrenos,[]
159906,materiales proyectos petroleros,[]
159908,construcciones en curso,[]
159912,maquinaria en montaje,[]
159916,construcciones y edificaciones,[]
159920,maquinaria y equipo,[]
159924,equipo de oficina,[]
159928,equipo de computacion y comunicacion,[]
159932,equipo medico cientifico,[]
159936,equipo de hoteles y restaurantes,[]
159940,flota y equipo de transporte,[]
159944,flota y equipo fluvial y/o maritimo,[]
159948,flota y equipo aereo,[]
159952,flota y equipo ferreo,[]
159956,"acueductos, plantas y redes",[]
159960,armamento de vigilancia,[]
159962,envases y empaques,[]
159964,plantaciones agricolas y forestales,[]
159968,vias de comunicacion,[]
159972,minas y canteras,[]
159980,pozos artesianos,[]
159984,yacimientos,[]
159988,semovientes,[]
159992,propiedades planta y equipo en transito,[]
16,intangibles,[]
1605,credito mercantil,[]
160505,formado o estimado,[]
160510,adquirido o comprado,[]
160599,ajustes por inflacion,[]
1610,marcas,[]
161005,adquiridas,[]
161010,formadas,[]
161099,ajustes por inflacion,[]
1615,patentes,[]
161505,adquiridas,[]
161510,formadas,[]
161599,ajustes por inflacion,[]
1620,concesiones y franquicias,[]
162005,concesiones,[]
162010,franquicias,[]
162099,ajustes por inflacion,[]
1625,derechos,[]
162505,derechos de autor,[]
162510,puesto de bolsa,[]
162515,en fideicomisos inmobiliarios,[]
162520,en fideicomisos de garantia,[]
162525,en fideicomisos de administracion,[]
162595,otros,[]
162599,ajustes por inflacion,[]
1630,know how,[]
163099,ajustes por inflacion,[]
1635,licencias,[]
163599,ajustes por inflacion,[]
1698,amortizacion acumulada,[]
169805,credito mercantil,[]
169810,marcas,[]
169815,patentes,[]
169820,concesiones y franquicias,[]
169830,derechos,[]
169835,know how,[]
169840,licencias,[]
169899,ajustes por inflacion,[]
1699,provisiones,[]
17,diferidos,[]
1705,gastos pagados por anticipado,[]
170505,intereses,[]
170510,honorarios,[]
170515,comisiones,[]
170520,seguros y fianzas,[]
170525,arrendamientos,[]
170530,bodegajes,[]
170535,mantenimiento equipos,[]
170540,servicios,[]
170545,suscripciones,[]
170595,otros,[]
1710,cargos diferidos,[]
171004,organizacion y preoperativos,[]
171008,remodelaciones,[]
171012,"estudios, investigaciones y proyectos",[]
171016,programas para computador (software),[]
171020,utiles y papeleria,[]
171024,mejoras a propiedades ajenas,[]
171028,contribuciones y afiliaciones,[]
171032,entrenamiento de personal,[]
171036,ferias y exposiciones,[]
171040,licencias,[]
171044,"publicidad, propaganda y avisos",[]
171048,elementos de aseo y cafeteria,[]
171052,moldes y troqueles,[]
171056,instrumental quirurgico,[]
171060,dotacion y suministro a trabajadores,[]
171064,elementos de roperia y lenceria,[]
171068,loza y cristaleria,[]
171072,descuento en colocacion de bonos,[]
171076,"impuesto de renta diferido ""debitos"" por diferencias",[]
171080,concursos y licitaciones,[]
171095,otros,[]
171099,ajustes por inflacion,[]
1715,costos de exploracion por amortizar,[]
171505,pozos secos,[]
171510,pozos no comerciales,[]
171515,otros costos de exploracion,[]
171599,ajustes por inflacion,[]
1720,costos de explotacion y desarrollo,[]
172005,perforacion y explotacion,[]
172010,perforaciones campos en desarrollo,[]
172015,facilidades de produccion,[]
172020,servicio a pozos,[]
172099,ajustes por inflacion,[]
1730,cargos por correccion monetaria diferida,[]
1798,amortizacion acumulada,[]
179805,costos de exploracion por amortizar,[]
179810,costos de explotacion y desarrollo,[]
179899,ajustes por inflacion,[]
18,otros activos,[]
1805,bienes de arte y cultura,[]
180505,obras de arte,[]
180510,bibliotecas,[]
180595,otros,[]
180599,ajustes por inflacion,[]
1895,diversos,[]
189505,maquinas porteadoras,[]
189510,bienes entregados en comodato,[]
189515,amortizacion acumulada de bienes entregados en comodato (cr),[]
189520,bienes recibidos en pago,[]
189525,derechos sucesorales,[]
189530,estampillas,[]
189595,otros,[]
189599,ajustes por inflacion,[]
1899,provisiones,[]
189905,bienes de arte y cultura,[]
189995,diversos,[]
19,valorizaciones,[]
1905,de inversiones,[]
190505,acciones,[]
190510,cuotas o partes de interes social,[]
190515,derechos fiduciarios,[]
1910,de propiedades planta y equipo,[]
191004,terrenos,[]
191006,materiales proyectos petroleros,[]
191008,construcciones y edificaciones,[]
191012,maquinaria y equipo,[]
191016,equipo de oficina,[]
191020,equipo de computacion y comunicacion,[]
191024,equipo medico cientifico,[]
191028,equipo de hoteles y restaurantes,[]
191032,flota y equipo de transporte,[]
191036,flota y equipo fluvial y/o maritimo,[]
191040,flota y equipo aereo,[]
191044,flota y equipo ferreo,[]
191048,acueductos plantas y redes,[]
191052,armamento de vigilancia,[]
191056,envases y empaques,[]
191060,plantaciones agricolas y forestales,[]
191064,vias de comunicacion,[]
191068,minas y canteras,[]
191072,pozos artesianos,[]
191076,yacimientos,[]
191080,semovientes,[]
1995,de otros activos,[]
199505,bienes de arte y cultura,[]
199510,bienes entregados en comodato,[]
199515,bienes recibidos en pago,[]
199520,inventario de semovientes,[]
2,pasivo,[]
21,obligaciones financieras,[]
2105,bancos nacionales,[]
210505,sobregiros,[]
210510,pagares,[]
210515,cartas de credito,[]
210520,aceptaciones bancarias,[]
2110,bancos del exterior,[]
211005,sobregiros,[]
211010,pagares,[]
211015,cartas de credito,[]
211020,aceptaciones bancarias,[]
2115,corporaciones financieras,[]
211505,pagares,[]
211510,aceptaciones financieras,[]
211515,cartas de credito,[]
2120,compañias de financiamiento comercial,[]
212005,pagares,[]
212010,aceptaciones financieras,[]
2125,corporaciones de ahorro y vivienda,[]
212505,sobregiros,[]
212510,pagares,[]
212515,hipotecarias,[]
2130,entidades financieras del exterior,[]
2135,compromisos de recompra de inversiones negociadas,[]
213505,acciones,[]
213510,cuotas o partes de interes social,[]
213515,bonos,[]
213520,cedulas,[]
213525,certificados,[]
213530,papeles comerciales,[]
213535,titulos,[]
213540,aceptaciones bancarias o financieras,[]
213595,otros,[]
2140,compromisos de recompra de cartera negociada,[]
2145,obligaciones gubernamentales,[]
214505,gobierno nacional,[]
214510,entidades oficiales,[]
2195,otras obligaciones,[]
219505,particulares,[]
219510,compañias vinculadas,[]
219515,casa matriz,[]
219520,socios o accionistas,[]
219525,fondos y cooperativas,[]
219595,otras,[]
22,proveedores,[]
2205,nacionales,[]
2210,del exterior,[]
2215,cuentas corrientes comerciales,[]
2220,casa matriz,[]
2225,compañias vinculadas,[]
23,cuentas por pagar,[]
2305,cuentas corrientes comerciales,[]
2310,a casa matriz,[]
2315,a compañias vinculadas,[]
2320,a contratistas,[]
2330,ordenes de compra por utilizar,[]
2335,costos y gastos por  pagar,[]
233505,gastos financieros,[]
233510,gastos legales,[]
233515,"libros, suscripciones, periodicos y revistas",[]
233520,comisiones,[]
233525,honorarios,[]
233530,servicios tecnicos,[]
233535,servicios de mantenimiento,[]
233540,arrendamientos,[]
233545,"transportes, fletes y acarreos",[]
233550,servicios publicos,[]
233555,seguros,[]
233560,gastos de viaje,[]
233565,gastos de representacion y relaciones publicas,[]
233570,servicios aduaneros,[]
233595,otros,[]
2340,instalamentos por pagar,[]
2345,acreedores oficiales,[]
2350,regalias por pagar,[]
2355,deudas con accionistas o socios,[]
235505,accionistas,[]
235510,socios,[]
2360,dividendos o participaciones por pagar,[]
236005,dividendos,[]
236010,participaciones,[]
2365,retencion en la fuente,[]
236505,salarios y pagos laborales,[]
236510,dividendos y/o participaciones,[]
236515,honorarios,[]
236520,comisiones,[]
236525,servicios,[]
236530,arrendamientos,[]
236535,rendimientos financieros,[]
236540,compras,[]
236545,"loterias, rifas, apuestas y similares",[]
236550,por pagos al exterior,[]
236555,por ingresos obtenidos en el exterior,[]
236560,enajenacion propiedades planta y equipo personas naturales,[]
236565,por impuesto de timbre,[]
236570,otras retenciones y patrimonio,[]
236575,autorretenciones,[]
2370,retenciones y aportes de nomina,[]
237005,aportes al i.s.s.,[]
237010,"aportes al i.c.b.f., sena y cajas de compensacion",[]
237015,aportes al f.i.c.,[]
237025,embargos judiciales,[]
237030,libranzas,[]
237035,sindicatos,[]
237040,cooperativas,[]
237045,fondos,[]
237095,otros,[]
2375,cuotas por devolver,[]
2380,acreedores varios,[]
238005,depositarios,[]
238010,comisionistas de bolsas,[]
238015,sociedad administradora - fondos de inversion,[]
238020,reintegros por pagar,[]
238025,fondo de perseverancia,[]
238030,fondos de cesantias y/o pensiones,[]
238035,donaciones asignadas por pagar,[]
238095,otros,[]
24,"impuestos, gravamenes y tasas",[]
2404,de renta y complementarios,[]
240405,vigencia fiscal corriente,[]
240410,vigencias fiscales anteriores,[]
2408,impuesto sobre las ventas por pagar,[]
2412,de industria y comercio,[]
241205,vigencia fiscal corriente,[]
241210,vigencias fiscales anteriores,[]
2416,a la propiedad raiz,[]
2420,derechos sobre instrumentos publicos,[]
2424,de valorizacion,[]
242405,vigencia fiscal corriente,[]
242410,vigencias fiscales anteriores,[]
2428,de turismo,[]
2432,tasa por utilizacion de puertos,[]
2436,de vehiculos,[]
243605,vigencia fiscal corriente,[]
243610,vigencias fiscales anteriores,[]
2440,de espectaculos publicos,[]
2444,de hidrocarburos y minas,[]
244405,de hidrocarburos,[]
244410,de minas,[]
2448,regalias e impuestos a la pequeña y mediana mineria,[]
2452,a las exportaciones cafeteras,[]
2456,a las importaciones,[]
2460,cuotas de fomento,[]
2464,"de licores, cervezas y cigarrillos",[]
246405,de licores,[]
246410,de cervezas,[]
246415,de cigarrillos,[]
2468,al sacrificio de ganado,[]
2472,al azar y juegos,[]
2495,otros,[]
25,obligaciones laborales,[]
2505,salarios por pagar,[]
2510,cesantias consolidadas,[]
251005,ley laboral anterior,[]
251010,ley 50 de 1990 y normas posteriores,[]
2515,intereses sobre cesantias,[]
2520,prima de servicios,[]
2525,vacaciones consolidadas,[]
252501,a 252598,[]
2530,prestaciones extralegales,[]
253005,primas,[]
253010,auxilios,[]
253015,dotacion y suministro a trabajadores,[]
253020,bonificaciones,[]
253025,seguros,[]
253095,otras,[]
2532,pensiones por pagar,[]
2535,cuotas partes pensiones de jubilacion,[]
2540,indemnizaciones laborales,[]
26,pasivos estimados y provisiones,[]
2605,para costos y gastos,[]
260505,intereses,[]
260510,comisiones,[]
260515,honorarios,[]
260520,servicios tecnicos,[]
260525,"transportes, fletes y acarreos",[]
260530,gastos de viaje,[]
260535,servicios publicos,[]
260540,regalias,[]
260545,garantias,[]
260550,materiales y repuestos,[]
260595,otros,[]
2610,para obligaciones laborales,[]
261005,cesantias,[]
261010,intereses sobre cesantias,[]
261015,vacaciones,[]
261020,prima de servicios,[]
261025,prestaciones extralegales,[]
261030,viaticos,[]
261095,otras,[]
2615,para obligaciones fiscales,[]
261505,de renta y complementarios,[]
261510,de industria y comercio,[]
261515,tasa por utilizacion de puertos,[]
261520,de vehiculos,[]
261525,de hidrocarburos y minas,[]
261595,otros,[]
2620,pensiones de jubilacion,[]
262005,calculo actuarial pensiones de jubilacion,[]
262010,pensiones de jubilacion por amortizar (db),[]
2625,para obras de urbanismo,[]
262505,acueducto y alcantarillado,[]
262510,energia electrica,[]
262515,telefonos,[]
262595,otros,[]
2630,para mantenimiento y reparaciones,[]
263005,terrenos,[]
263010,construcciones y edificaciones,[]
263015,maquinaria y equipo,[]
263020,equipo de oficina,[]
263025,equipo de computacion y comunicacion,[]
263030,equipo medico - cientifico,[]
263035,equipo de hoteles y restaurantes,[]
263040,flota y equipo de transporte,[]
263045,flota y equipo fluvial y/o maritimo,[]
263050,flota y equipo aereo,[]
263055,flota y equipo ferreo,[]
263060,acueductos plantas y redes,[]
263065,armamento de vigilancia,[]
263070,envases y empaques,[]
263075,plantaciones agricolas y forestales,[]
