code,accountable_ptr_id,doc_date,start_date,end_date,pending_date_value_dates
A6N-13N-62-S212^2011-09-01,A6N-13N-62-S212^2011-09-01,2011-09-01,2022-01-01,,"{datetime.date(2022, 1, 1): 467000, datetime.date(2022, 2, 1): 467000, datetime.date(2022, 3, 1): 467000, datetime.date(2022, 4, 1): 467000, datetime.date(2022, 5, 1): 467000, datetime.date(2022, 6, 1): 467000, datetime.date(2022, 7, 1): 467000, datetime.date(2022, 8, 1): 467000, datetime.date(2022, 9, 1): 650000, datetime.date(2022, 10, 1): 650000}"
A6N-13N-62-S214^2018-10-01,A6N-13N-62-S214^2018-10-01,2018-10-01,2022-01-01,,"{datetime.date(2022, 1, 1): 467000, datetime.date(2022, 2, 1): 467000, datetime.date(2022, 3, 1): 467000, datetime.date(2022, 4, 1): 467000, datetime.date(2022, 5, 1): 467000, datetime.date(2022, 6, 1): 467000, datetime.date(2022, 7, 1): 467000, datetime.date(2022, 8, 1): 467000, datetime.date(2022, 9, 1): 467000, datetime.date(2022, 10, 1): 493000}"
A6N-13N-62-S217^2018-12-01,A6N-13N-62-S217^2018-12-01,2018-12-01,2021-11-01,,"{datetime.date(2021, 11, 1): 472000, datetime.date(2021, 12, 1): 496000, datetime.date(2022, 1, 1): 496000, datetime.date(2022, 2, 1): 496000, datetime.date(2022, 3, 1): 496000, datetime.date(2022, 4, 1): 496000, datetime.date(2022, 5, 1): 496000, datetime.date(2022, 6, 1): 496000, datetime.date(2022, 7, 1): 496000, datetime.date(2022, 8, 1): 496000, datetime.date(2022, 9, 1): 496000, datetime.date(2022, 10, 1): 496000}"
A6N-13N-62-S219^2004-02-09,A6N-13N-62-S219^2004-02-09,2004-02-09,2022-01-09,,"{datetime.date(2022, 1, 9): 468000, datetime.date(2022, 2, 9): 480000, datetime.date(2022, 3, 9): 480000, datetime.date(2022, 4, 9): 480000, datetime.date(2022, 5, 9): 480000, datetime.date(2022, 6, 9): 480000, datetime.date(2022, 7, 9): 480000, datetime.date(2022, 8, 9): 480000, datetime.date(2022, 9, 9): 480000, datetime.date(2022, 10, 9): 480000}"
A6N-13N-62-S221^2018-06-15,A6N-13N-62-S221^2018-06-15,2018-06-15,2022-01-15,,"{datetime.date(2022, 1, 15): 342000, datetime.date(2022, 2, 15): 342000, datetime.date(2022, 3, 15): 342000, datetime.date(2022, 4, 15): 342000, datetime.date(2022, 5, 15): 342000, datetime.date(2022, 6, 15): 370000, datetime.date(2022, 7, 15): 370000, datetime.date(2022, 8, 15): 370000, datetime.date(2022, 9, 15): 370000}"
A6N-13N-62-S222^2022-06-01,A6N-13N-62-S222^2022-06-01,2022-06-01,2022-06-01,,"{datetime.date(2022, 6, 1): 570000, datetime.date(2022, 7, 1): 570000, datetime.date(2022, 8, 1): 570000, datetime.date(2022, 9, 1): 570000, datetime.date(2022, 10, 1): 570000}"
A6N-13N-62-S301^2021-08-01,A6N-13N-62-S301^2021-08-01,2021-08-01,2022-01-01,2022-07-31,"{datetime.date(2022, 1, 1): 830000, datetime.date(2022, 2, 1): 830000, datetime.date(2022, 3, 1): 830000, datetime.date(2022, 4, 1): 830000, datetime.date(2022, 5, 1): 830000, datetime.date(2022, 6, 1): 830000, datetime.date(2022, 7, 1): 803226}"
A6N-13N-62-S302^2021-08-01,A6N-13N-62-S302^2021-08-01,2021-08-01,2021-12-01,,"{datetime.date(2021, 12, 1): 700000, datetime.date(2022, 1, 1): 700000, datetime.date(2022, 2, 1): 700000, datetime.date(2022, 3, 1): 700000, datetime.date(2022, 4, 1): 700000, datetime.date(2022, 5, 1): 700000, datetime.date(2022, 6, 1): 700000, datetime.date(2022, 7, 1): 700000, datetime.date(2022, 8, 1): 780000, datetime.date(2022, 9, 1): 780000, datetime.date(2022, 10, 1): 780000}"
A6N-13N-62-S303^2022-03-01,A6N-13N-62-S303^2022-03-01,2022-03-01,2022-02-07,,"{datetime.date(2022, 2, 7): 550000, datetime.date(2022, 3, 1): 700000, datetime.date(2022, 4, 1): 700000, datetime.date(2022, 5, 1): 700000, datetime.date(2022, 6, 1): 700000, datetime.date(2022, 7, 1): 700000, datetime.date(2022, 8, 1): 700000, datetime.date(2022, 9, 1): 700000, datetime.date(2022, 10, 1): 700000}"
A6N-13N-62-S304^2022-04-01,A6N-13N-62-S304^2022-04-01,2022-04-01,2022-04-01,,"{datetime.date(2022, 4, 1): 700000, datetime.date(2022, 5, 1): 700000, datetime.date(2022, 6, 1): 700000, datetime.date(2022, 7, 1): 700000, datetime.date(2022, 8, 1): 700000, datetime.date(2022, 9, 1): 700000, datetime.date(2022, 10, 1): 700000}"
A6N-13N-62-S305^2021-02-01,A6N-13N-62-S305^2021-02-01,2021-02-01,2022-01-01,,"{datetime.date(2022, 1, 1): 750000, datetime.date(2022, 2, 1): 785000, datetime.date(2022, 3, 1): 785000, datetime.date(2022, 4, 1): 785000, datetime.date(2022, 5, 1): 785000, datetime.date(2022, 6, 1): 785000, datetime.date(2022, 7, 1): 785000, datetime.date(2022, 8, 1): 785000, datetime.date(2022, 9, 1): 785000, datetime.date(2022, 10, 1): 785000}"
A6N-13N-62-S306^2018-06-01,A6N-13N-62-S306^2018-06-01,2018-06-01,2021-11-01,,"{datetime.date(2021, 11, 1): 458000, datetime.date(2021, 12, 1): 458000, datetime.date(2022, 1, 1): 458000, datetime.date(2022, 2, 1): 458000, datetime.date(2022, 3, 1): 458000, datetime.date(2022, 4, 1): 458000, datetime.date(2022, 5, 1): 458000, datetime.date(2022, 6, 1): 458000, datetime.date(2022, 7, 1): 458000, datetime.date(2022, 8, 1): 458000, datetime.date(2022, 9, 1): 458000, datetime.date(2022, 10, 1): 458000}"
A6N-13N-62-S308^2022-03-01,A6N-13N-62-S308^2022-03-01,2022-03-01,2022-03-01,2022-05-31,"{datetime.date(2022, 3, 1): 390000, datetime.date(2022, 4, 1): 390000, datetime.date(2022, 5, 1): 377419}"
A6N-13N-62-S308^2022-07-01,A6N-13N-62-S308^2022-07-01,2022-07-01,2022-07-01,,"{datetime.date(2022, 7, 1): 390000, datetime.date(2022, 8, 1): 390000, datetime.date(2022, 9, 1): 390000, datetime.date(2022, 10, 1): 390000}"
A6N-13N-62-S309^2022-03-01,A6N-13N-62-S309^2022-03-01,2022-03-01,2022-03-01,,"{datetime.date(2022, 3, 1): 390000, datetime.date(2022, 4, 1): 390000, datetime.date(2022, 5, 1): 390000, datetime.date(2022, 6, 1): 390000, datetime.date(2022, 7, 1): 390000, datetime.date(2022, 8, 1): 390000, datetime.date(2022, 9, 1): 390000, datetime.date(2022, 10, 1): 390000}"
A6N-13N-62-S310^2021-12-01,A6N-13N-62-S310^2021-12-01,2021-12-01,2022-01-01,2022-01-31,"{datetime.date(2022, 1, 1): 377419}"
A6N-13N-62-S310^2022-07-01,A6N-13N-62-S310^2022-07-01,2022-07-01,2022-07-01,,"{datetime.date(2022, 7, 1): 390000, datetime.date(2022, 8, 1): 390000, datetime.date(2022, 9, 1): 390000, datetime.date(2022, 10, 1): 390000}"
A6N-13N-62-S311^2021-11-01,A6N-13N-62-S311^2021-11-01,2021-11-01,2022-01-01,,"{datetime.date(2022, 1, 1): 390000, datetime.date(2022, 2, 1): 390000, datetime.date(2022, 3, 1): 390000, datetime.date(2022, 4, 1): 390000, datetime.date(2022, 5, 1): 390000, datetime.date(2022, 6, 1): 390000, datetime.date(2022, 7, 1): 390000, datetime.date(2022, 8, 1): 390000, datetime.date(2022, 9, 1): 390000, datetime.date(2022, 10, 1): 390000}"
A6N-13N-62-S312^2017-06-01,A6N-13N-62-S312^2017-06-01,2017-06-01,2022-01-01,,"{datetime.date(2022, 1, 1): 490000, datetime.date(2022, 2, 1): 490000, datetime.date(2022, 3, 1): 490000, datetime.date(2022, 4, 1): 490000, datetime.date(2022, 5, 1): 490000, datetime.date(2022, 6, 1): 530000, datetime.date(2022, 7, 1): 530000, datetime.date(2022, 8, 1): 530000, datetime.date(2022, 9, 1): 530000, datetime.date(2022, 10, 1): 530000}"
A6N-13N-62-S314^2019-06-01,A6N-13N-62-S314^2019-06-01,2019-06-01,2022-01-01,,"{datetime.date(2022, 1, 1): 455000, datetime.date(2022, 2, 1): 455000, datetime.date(2022, 3, 1): 455000, datetime.date(2022, 4, 1): 455000, datetime.date(2022, 5, 1): 455000, datetime.date(2022, 6, 1): 500000, datetime.date(2022, 7, 1): 500000, datetime.date(2022, 8, 1): 500000, datetime.date(2022, 9, 1): 500000, datetime.date(2022, 10, 1): 500000}"
A6N-13N-62-S315^2019-08-01,A6N-13N-62-S315^2019-08-01,2019-08-01,2022-01-01,2022-06-30,"{datetime.date(2022, 1, 1): 310000, datetime.date(2022, 2, 1): 310000, datetime.date(2022, 3, 1): 310000, datetime.date(2022, 4, 1): 310000, datetime.date(2022, 5, 1): 310000, datetime.date(2022, 6, 1): 299667}"
A6N-13N-62-S317^2022-06-01,A6N-13N-62-S317^2022-06-01,2022-06-01,2022-06-03,,"{datetime.date(2022, 6, 3): 364000, datetime.date(2022, 7, 1): 390000, datetime.date(2022, 8, 1): 390000, datetime.date(2022, 9, 1): 390000, datetime.date(2022, 10, 1): 390000}"
A6N-13N-62-S318^2021-08-01,A6N-13N-62-S318^2021-08-01,2021-08-01,2022-01-01,,"{datetime.date(2022, 1, 1): 290000, datetime.date(2022, 2, 1): 290000, datetime.date(2022, 3, 1): 290000, datetime.date(2022, 4, 1): 290000, datetime.date(2022, 5, 1): 290000, datetime.date(2022, 6, 1): 290000, datetime.date(2022, 7, 1): 290000, datetime.date(2022, 8, 1): 323000, datetime.date(2022, 9, 1): 323000, datetime.date(2022, 10, 1): 323000}"
A6N-13N-62-S319^2021-08-01,A6N-13N-62-S319^2021-08-01,2021-08-01,2022-01-01,,"{datetime.date(2022, 1, 1): 470000, datetime.date(2022, 2, 1): 470000, datetime.date(2022, 3, 1): 470000, datetime.date(2022, 4, 1): 470000, datetime.date(2022, 5, 1): 470000, datetime.date(2022, 6, 1): 470000, datetime.date(2022, 7, 1): 470000, datetime.date(2022, 8, 1): 524000, datetime.date(2022, 9, 1): 524000, datetime.date(2022, 10, 1): 524000}"
A6N-13N-62-S321^1996-08-13,A6N-13N-62-S321^1996-08-13,1996-08-13,2022-01-13,,"{datetime.date(2022, 1, 13): 347000, datetime.date(2022, 2, 13): 347000, datetime.date(2022, 3, 13): 347000, datetime.date(2022, 4, 13): 347000, datetime.date(2022, 5, 13): 347000, datetime.date(2022, 6, 13): 347000, datetime.date(2022, 7, 13): 347000, datetime.date(2022, 8, 13): 372000, datetime.date(2022, 9, 13): 372000}"
A6N-13N-62-S322^2021-01-01,A6N-13N-62-S322^2021-01-01,2021-01-01,2022-01-01,,"{datetime.date(2022, 1, 1): 480000, datetime.date(2022, 2, 1): 480000, datetime.date(2022, 3, 1): 480000, datetime.date(2022, 4, 1): 480000, datetime.date(2022, 5, 1): 480000, datetime.date(2022, 6, 1): 480000, datetime.date(2022, 7, 1): 480000, datetime.date(2022, 8, 1): 480000, datetime.date(2022, 9, 1): 480000, datetime.date(2022, 10, 1): 480000}"
A6N-13N-66^2019-04-01,A6N-13N-66^2019-04-01,2019-04-01,2022-01-01,,"{datetime.date(2022, 1, 1): 730000, datetime.date(2022, 2, 1): 730000, datetime.date(2022, 3, 1): 730000, datetime.date(2022, 4, 1): 790000, datetime.date(2022, 5, 1): 790000, datetime.date(2022, 6, 1): 790000, datetime.date(2022, 7, 1): 790000, datetime.date(2022, 8, 1): 790000, datetime.date(2022, 9, 1): 790000, datetime.date(2022, 10, 1): 790000}"
A6N-13N-68^1999-02-01,A6N-13N-68^1999-02-01,1999-02-01,2022-01-01,,"{datetime.date(2022, 1, 1): 2600000, datetime.date(2022, 2, 1): 2720000, datetime.date(2022, 3, 1): 2720000, datetime.date(2022, 4, 1): 2720000, datetime.date(2022, 5, 1): 2720000, datetime.date(2022, 6, 1): 2720000, datetime.date(2022, 7, 1): 2720000, datetime.date(2022, 8, 1): 2720000, datetime.date(2022, 9, 1): 2720000, datetime.date(2022, 10, 1): 2720000}"
