,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,commit_template_id,bill_template_id,receive_template_id
14,16,1,2022-10-26 17:09:33.971507+00:00,2,A6N-13N-62-S201^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
15,17,1,2022-10-26 17:09:33.971525+00:00,2,A6N-13N-62-S202^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
16,18,1,2022-10-26 17:09:33.971544+00:00,2,A6N-13N-62-S203^2020-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
17,19,1,2022-10-26 17:09:33.971562+00:00,2,A6N-13N-62-S203^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
18,20,1,2022-10-26 17:09:33.971580+00:00,2,A6N-13N-62-S204^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
19,21,1,2022-10-26 17:09:33.971598+00:00,2,A6N-13N-62-S205^2020-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
20,22,1,2022-10-26 17:09:33.971660+00:00,2,A6N-13N-62-S207^2004-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
21,23,1,2022-10-26 17:09:33.971685+00:00,2,A6N-13N-62-S208^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
22,24,1,2022-10-26 17:09:33.971705+00:00,2,A6N-13N-62-S209^2006-03-21,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
23,25,1,2022-10-26 17:09:33.971723+00:00,2,A6N-13N-62-S210^2017-03-20,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
24,26,1,2022-10-26 17:09:33.971741+00:00,2,A6N-13N-62-S211^2017-03-08,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
25,27,1,2022-10-26 17:09:33.971759+00:00,2,A6N-13N-62-S212^2011-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
26,28,1,2022-10-26 17:09:33.971777+00:00,2,A6N-13N-62-S214^2018-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
27,29,1,2022-10-26 17:09:33.971795+00:00,2,A6N-13N-62-S217^2018-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
28,30,1,2022-10-26 17:09:33.971813+00:00,2,A6N-13N-62-S219^2004-02-09,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
29,31,1,2022-10-26 17:09:33.971831+00:00,2,A6N-13N-62-S221^2018-06-15,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
30,32,1,2022-10-26 17:09:33.971848+00:00,2,A6N-13N-62-S222^2022-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
31,33,1,2022-10-26 17:09:33.971866+00:00,2,A6N-13N-62-S301^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
32,34,1,2022-10-26 17:09:33.971884+00:00,2,A6N-13N-62-S302^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
33,35,1,2022-10-26 17:09:33.971901+00:00,2,A6N-13N-62-S303^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
34,36,1,2022-10-26 17:09:33.971919+00:00,2,A6N-13N-62-S304^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
35,37,1,2022-10-26 17:09:33.971937+00:00,2,A6N-13N-62-S305^2021-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
36,38,1,2022-10-26 17:09:33.971954+00:00,2,A6N-13N-62-S306^2018-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
37,39,1,2022-10-26 17:09:33.971972+00:00,2,A6N-13N-62-S308^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
38,40,1,2022-10-26 17:09:33.971989+00:00,2,A6N-13N-62-S308^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
39,41,1,2022-10-26 17:09:33.972007+00:00,2,A6N-13N-62-S309^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
40,42,1,2022-10-26 17:09:33.972024+00:00,2,A6N-13N-62-S310^2021-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
41,43,1,2022-10-26 17:09:33.972042+00:00,2,A6N-13N-62-S310^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
42,44,1,2022-10-26 17:09:33.972060+00:00,2,A6N-13N-62-S311^2021-11-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
43,45,1,2022-10-26 17:09:33.972078+00:00,2,A6N-13N-62-S312^2017-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
44,46,1,2022-10-26 17:09:33.972095+00:00,2,A6N-13N-62-S314^2019-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
45,47,1,2022-10-26 17:09:33.972113+00:00,2,A6N-13N-62-S315^2019-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
46,48,1,2022-10-26 17:09:33.972131+00:00,2,A6N-13N-62-S317^2022-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
47,49,1,2022-10-26 17:09:33.972150+00:00,2,A6N-13N-62-S318^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
48,50,1,2022-10-26 17:09:33.972170+00:00,2,A6N-13N-62-S319^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
49,51,1,2022-10-26 17:09:33.972188+00:00,2,A6N-13N-62-S321^1996-08-13,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
50,52,1,2022-10-26 17:09:33.972205+00:00,2,A6N-13N-62-S322^2021-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
51,53,1,2022-10-26 17:09:33.972223+00:00,2,A6N-13N-66^2019-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
52,54,1,2022-10-26 17:09:33.972242+00:00,2,A6N-13N-68^1999-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
53,55,1,2022-10-26 17:09:33.972260+00:00,2,A6N-13N-62-S301^2022-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
54,56,1,2022-10-26 17:09:33.972278+00:00,2,A6N-13N-62-S202^2022-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
55,57,1,2022-10-26 17:09:33.972295+00:00,2,K1-17-57^2001-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
56,58,1,2022-10-26 17:09:33.972313+00:00,2,K1-17-53^2017-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
57,59,1,2022-10-26 17:09:33.972331+00:00,2,C18-1N-39^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
58,60,1,2022-10-26 17:09:33.972348+00:00,2,K1-17-43^2017-07-15,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
59,61,1,2022-10-26 17:09:33.972381+00:00,2,K1-17-47^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
60,62,1,2022-10-26 17:09:33.972404+00:00,2,C18-1N-33^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
61,63,1,2022-10-26 17:09:33.972423+00:00,2,C18-1N-41^2021-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
62,64,1,2022-10-26 17:09:33.972441+00:00,2,K1-17-37^2012-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
