,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,commit_template_id,bill_template_id,receive_template_id
10,12,1,2022-11-02 15:32:15.562418+00:00,2,A6N-13N-62-S111^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
11,13,1,2022-11-02 15:32:15.562434+00:00,2,A6N-13N-62-S111^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
12,14,1,2022-11-02 15:32:15.562451+00:00,2,A6N-13N-62-S112^2015-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
13,15,1,2022-11-02 15:32:15.562467+00:00,2,A6N-13N-62-S114^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
14,16,1,2022-11-02 15:32:15.562483+00:00,2,A6N-13N-62-S201^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
15,17,1,2022-11-02 15:32:15.562499+00:00,2,A6N-13N-62-S202^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
16,18,1,2022-11-02 15:32:15.562516+00:00,2,A6N-13N-62-S203^2020-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
17,19,1,2022-11-02 15:32:15.562532+00:00,2,A6N-13N-62-S203^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
18,20,1,2022-11-02 15:32:15.562548+00:00,2,A6N-13N-62-S204^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
19,21,1,2022-11-02 15:32:15.562564+00:00,2,A6N-13N-62-S205^2020-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
20,22,1,2022-11-02 15:32:15.562581+00:00,2,A6N-13N-62-S207^2004-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
21,23,1,2022-11-02 15:32:15.562597+00:00,2,A6N-13N-62-S208^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
22,24,1,2022-11-02 15:32:15.562613+00:00,2,A6N-13N-62-S209^2006-03-21,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
23,25,1,2022-11-02 15:32:15.562629+00:00,2,A6N-13N-62-S210^2017-03-20,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
24,26,1,2022-11-02 15:32:15.562646+00:00,2,A6N-13N-62-S211^2017-03-08,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
25,27,1,2022-11-02 15:32:15.562662+00:00,2,A6N-13N-62-S212^2011-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
26,28,1,2022-11-02 15:32:15.562678+00:00,2,A6N-13N-62-S214^2018-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
27,29,1,2022-11-02 15:32:15.562694+00:00,2,A6N-13N-62-S217^2018-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
28,30,1,2022-11-02 15:32:15.562710+00:00,2,A6N-13N-62-S219^2004-02-09,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
29,31,1,2022-11-02 15:32:15.562726+00:00,2,A6N-13N-62-S221^2018-06-15,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
30,32,1,2022-11-02 15:32:15.562743+00:00,2,A6N-13N-62-S222^2022-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
31,33,1,2022-11-02 15:32:15.562759+00:00,2,A6N-13N-62-S301^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
32,34,1,2022-11-02 15:32:15.562775+00:00,2,A6N-13N-62-S302^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
33,35,1,2022-11-02 15:32:15.562791+00:00,2,A6N-13N-62-S303^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
34,36,1,2022-11-02 15:32:15.562808+00:00,2,A6N-13N-62-S304^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
35,37,1,2022-11-02 15:32:15.562824+00:00,2,A6N-13N-62-S305^2021-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
36,38,1,2022-11-02 15:32:15.562840+00:00,2,A6N-13N-62-S306^2018-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
37,39,1,2022-11-02 15:32:15.562856+00:00,2,A6N-13N-62-S308^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
38,40,1,2022-11-02 15:32:15.562872+00:00,2,A6N-13N-62-S308^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
39,41,1,2022-11-02 15:32:15.562905+00:00,2,A6N-13N-62-S309^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
40,42,1,2022-11-02 15:32:15.562927+00:00,2,A6N-13N-62-S310^2021-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
41,43,1,2022-11-02 15:32:15.562945+00:00,2,A6N-13N-62-S310^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
42,44,1,2022-11-02 15:32:15.562962+00:00,2,A6N-13N-62-S311^2021-11-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
43,45,1,2022-11-02 15:32:15.562979+00:00,2,A6N-13N-62-S312^2017-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
44,46,1,2022-11-02 15:32:15.562995+00:00,2,A6N-13N-62-S314^2019-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
45,47,1,2022-11-02 15:32:15.563012+00:00,2,A6N-13N-62-S315^2019-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
46,48,1,2022-11-02 15:32:15.563028+00:00,2,A6N-13N-62-S317^2022-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
47,49,1,2022-11-02 15:32:15.563045+00:00,2,A6N-13N-62-S318^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
48,50,1,2022-11-02 15:32:15.563061+00:00,2,A6N-13N-62-S319^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
49,51,1,2022-11-02 15:32:15.563078+00:00,2,A6N-13N-62-S321^1996-08-13,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
50,52,1,2022-11-02 15:32:15.563094+00:00,2,A6N-13N-62-S322^2021-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
51,53,1,2022-11-02 15:32:15.563110+00:00,2,A6N-13N-66^2019-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
52,54,1,2022-11-02 15:32:15.563126+00:00,2,A6N-13N-68^1999-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
53,55,1,2022-11-02 15:32:15.563143+00:00,2,A6N-13N-62-S301^2022-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
54,56,1,2022-11-02 15:32:15.563160+00:00,2,A6N-13N-62-S202^2022-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
55,57,1,2022-11-02 15:32:15.563176+00:00,2,K1-17-57^2001-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
56,58,1,2022-11-02 15:32:15.563192+00:00,2,K1-17-53^2017-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
57,59,1,2022-11-02 15:32:15.563209+00:00,2,C18-1N-39^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
58,60,1,2022-11-02 15:32:15.563225+00:00,2,K1-17-43^2017-07-15,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
59,61,1,2022-11-02 15:32:15.563241+00:00,2,K1-17-47^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
60,62,1,2022-11-02 15:32:15.563258+00:00,2,C18-1N-33^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
61,63,1,2022-11-02 15:32:15.563274+00:00,2,C18-1N-41^2021-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA y Retefuente-Efectivo
62,64,1,2022-11-02 15:32:15.563291+00:00,2,K1-17-37^2012-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble con IVA,RC-Canon Mensual Arriendo Inmueble con IVA-Efectivo
