class,ledger,account,value,concept
Charge,FV-00000010,913005,-3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,FV-00000011,13802005,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,FV-00000011,913005,-500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,FV-00000012,13802005,1500000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000012,13802010,285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000012,240810,-285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000012,913005,-1500000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,FV-00000013,13802005,1000000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01
Charge,FV-00000013,13802010,190000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01
Charge,FV-00000013,240810,-190000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01
Charge,FV-00000013,913005,-1000000,Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01
Charge,FV-00000014,13802005,2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,FV-00000014,13802010,380000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,FV-00000014,240810,-380000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,FV-00000014,913005,-2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000001,11100505,1000000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000001,13802005,-715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000001,13802010,-285000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000001,913005,715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000001,28150505,-715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000002,11100505,2310000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000002,13802005,-2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000002,13802010,-380000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000002,913005,2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000002,28150505,-1930000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000002,839530,70000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000002,93950505,-70000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15
Charge,RC-00000003,11100505,1848000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000003,13802005,-1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000003,13802010,-304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000003,913005,1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000003,28150505,-1544000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000003,839530,56000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000003,93950505,-56000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31
Charge,RC-00000004,11100505,785000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,11100505,215000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,13802005,-785000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,13802010,-267500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,913005,785000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,28150505,-732500,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,839530,52500,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000004,93950505,-52500,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000005,11100505,3465000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000005,13802005,-3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000005,13802010,-570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000005,913005,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000005,28150505,-2895000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000005,839530,105000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000005,93950505,-105000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31
Charge,RC-00000006,11100505,844516,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,RC-00000006,13802005,-709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,RC-00000006,13802010,-134839,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,RC-00000006,913005,709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,RC-00000006,28150505,-709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01
Charge,RC-00000007,11100505,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,RC-00000007,13802005,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,RC-00000007,913005,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,RC-00000007,28150505,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30
Charge,RC-00000008,11100505,1000000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000008,13802005,-982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000008,13802010,-17500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000008,913005,982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000008,28150505,-982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000009,11100505,2310000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000009,13802005,-2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000009,13802010,-380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000009,913005,2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000009,28150505,-1930000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000009,839530,70000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000009,93950505,-70000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15
Charge,RC-00000010,11100505,3465000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000010,13802005,-3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000010,13802010,-570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000010,913005,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000010,28150505,-2895000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000010,839530,105000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000010,93950505,-105000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31
Charge,RC-00000011,11100505,517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,11100505,482500,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,13802005,-517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,13802005,-250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,13802010,-285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,913005,517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,913005,250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,28150505,-465000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,28150505,-250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,839530,52500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000011,93950505,-52500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
Charge,RC-00000012,11100505,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,RC-00000012,13802005,-500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,RC-00000012,913005,500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,RC-00000012,28150505,-500000,Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30
Charge,RC-00000013,11100505,1190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,RC-00000013,13802005,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,RC-00000013,13802010,-190000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,RC-00000013,913005,1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,RC-00000013,28150505,-1000000,Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01
Charge,RC-00000014,11100505,2310000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000014,13802005,-2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000014,13802010,-380000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000014,913005,2000000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000014,28150505,-1930000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000014,839530,70000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
Charge,RC-00000014,93950505,-70000,Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15
