fecha_registro,caja,base,retefuente,iva,reteiva,total,concepto
2022-01-17,Efectivo,455000,0,0,0,455000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S314^2019-06-01
2022-01-17,Efectivo,467000,0,0,0,467000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S214^2018-10-01
2022-01-17,Efectivo,347000,0,0,0,347000,Canon Mensual Arriendo Inmueble^2022-01-13_A6N-13N-62-S321^1996-08-13
2022-01-17,Efectivo,480000,0,0,0,480000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S322^2021-01-01
2022-01-17,Efectivo,342000,0,0,0,342000,Canon Mensual Arriendo Inmueble^2022-01-15_A6N-13N-62-S221^2018-06-15
2022-01-17,Efectivo,490000,0,0,0,490000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S312^2017-06-01
2022-01-18,Efectivo,800000,0,0,0,800000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-68^1999-02-01
2022-01-19,Efectivo,650000,0,0,0,650000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S304^2021-02-01
2022-01-20,Efectivo,172000,0,0,0,172000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01
2022-01-20,Efectivo,228000,0,0,0,228000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01
2022-01-20,003-193-745,1650000,57750,313500,0,1905750,Canon Mensual Arriendo Inmueble^2022-01-01_K1-17-47^2021-10-01
2022-01-21,003-193-745,620000,0,0,0,620000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S203^2020-10-01
2022-01-21,003-193-745,2450000,85750,465500,0,2829750,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-57^2001-09-01
2022-01-21,016-033-722,465000,0,0,0,465000,Canon Mensual Arriendo Inmueble^2021-12-21_A6N-13N-62-S209^2006-03-21
2022-01-21,003-193-745,19000,0,0,0,19000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01
2022-01-21,003-193-745,931000,0,180500,0,1111500,Canon Mensual Arriendo Inmueble^2022-01-01_C18-1N-33^2021-10-01
2022-01-25,Efectivo,750000,0,0,0,750000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-68^1999-02-01
2022-01-25,Efectivo,560000,0,0,0,560000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S112^2015-04-01
2022-01-25,Efectivo,1065000,0,0,0,1065000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-O1^2015-01-01
2022-01-25,5911012873,1717000,60095,326230,0,1983135,Canon Mensual Arriendo Inmueble^2022-01-15_K1-17-43^2017-07-15
2022-01-26,Efectivo,200000,0,0,0,200000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-68^1999-02-01
2022-01-27,Efectivo,1635000,0,310650,0,1945650,Canon Mensual Arriendo Inmueble^2022-01-01_K1-17-53^2017-06-01
2022-01-28,Efectivo,850000,0,0,0,850000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-68^1999-02-01
2022-01-28,003-193-745,2700000,94500,513000,0,3118500,Canon Mensual Arriendo Inmueble^2022-01-01_C18-1N-41^2021-02-01
2022-02-01,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S201^2021-10-01
2022-02-01,Efectivo,583000,0,0,0,583000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S212^2011-09-01
2022-02-01,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S208^2021-10-01
2022-02-01,Efectivo,268000,0,0,0,268000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01
2022-02-01,Efectivo,182000,0,0,0,182000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S217^2018-12-01
2022-02-01,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S111^2021-04-01
2022-02-01,Efectivo,478000,0,0,0,478000,Canon Mensual Arriendo Inmueble^2022-01-20_A6N-13N-62-S210^2017-03-20
2022-02-02,Efectivo,485000,0,0,0,485000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S207^2004-03-01
2022-02-02,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S301^2021-08-01
2022-02-03,003-193-745,2450000,85750,465500,0,2829750,Canon Mensual Arriendo Inmueble^2022-01-01_K1-17-57^2001-09-01
2022-02-03,Efectivo,790000,0,0,0,790000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S103^2020-06-01
2022-02-03,Efectivo,840000,0,0,0,840000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S104^2021-08-01
2022-02-04,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S110^2021-09-01
2022-02-04,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S202^2021-10-01
2022-02-04,Efectivo,450000,0,0,0,450000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S109^2021-07-01
2022-02-07,Efectivo,750000,0,0,0,750000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S205^2020-08-01
2022-02-07,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S311^2021-11-01
2022-02-07,Efectivo,513333,0,0,0,513333,Canon Mensual Arriendo Inmueble^2022-02-08_A6N-13N-62-S303^2022-03-01
2022-02-07,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S302^2021-08-01
2022-02-07,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S114^2021-09-01
2022-02-08,Efectivo,365000,0,0,0,365000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S314^2019-06-01
2022-02-08,Efectivo,850000,0,0,0,850000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S105^2021-09-01
2022-02-08,Efectivo,290000,0,0,0,290000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S318^2021-08-01
2022-02-08,Efectivo,638000,0,0,0,638000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S108^2016-12-01
2022-02-08,Efectivo,468000,0,0,0,468000,Canon Mensual Arriendo Inmueble^2022-02-09_A6N-13N-62-S219^2004-02-09
2022-02-08,003-193-745,1440000,0,273600,0,1713600,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01
2022-02-08,Efectivo,470000,0,0,0,470000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S319^2021-08-01
2022-02-08,Efectivo,785000,0,0,0,785000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S305^2021-02-01
2022-02-09,Efectivo,90000,0,0,0,90000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S314^2019-06-01
2022-02-10,Efectivo,940000,0,0,0,940000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S102^2021-10-01
2022-02-11,003-193-745,478000,0,0,0,478000,Canon Mensual Arriendo Inmueble^2022-02-08_A6N-13N-62-S211^2017-03-08
2022-02-11,003-193-745,19000,0,0,0,19000,Canon Mensual Arriendo Inmueble^2022-01-01_C18-1N-33^2021-10-01
2022-02-11,003-193-745,931000,0,180500,0,1111500,Canon Mensual Arriendo Inmueble^2022-02-01_C18-1N-33^2021-10-01
2022-02-11,003-193-745,1650000,57750,313500,0,1905750,Canon Mensual Arriendo Inmueble^2022-02-01_K1-17-47^2021-10-01
2022-02-14,Efectivo,730000,0,0,0,730000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-66^2019-04-01
2022-02-14,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-68^1999-02-01
2022-02-14,Efectivo,560000,0,0,0,560000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S112^2015-04-01
2022-02-14,Efectivo,467000,0,0,0,467000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S214^2018-10-01
2022-02-14,Efectivo,650000,0,0,0,650000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S204^2021-09-01
2022-02-14,Efectivo,1065000,0,0,0,1065000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-O1^2015-01-01
2022-02-15,Efectivo,310000,0,0,0,310000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S315^2019-08-01
2022-02-15,Efectivo,1100000,0,0,0,1100000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S101^2021-04-01
2022-02-15,Efectivo,1100000,0,0,0,1100000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S101^2021-04-01
2022-02-15,Efectivo,342000,0,0,0,342000,Canon Mensual Arriendo Inmueble^2022-02-15_A6N-13N-62-S221^2018-06-15
2022-02-16,Efectivo,480000,0,0,0,480000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S322^2021-01-01
2022-02-17,Efectivo,490000,0,0,0,490000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S312^2017-06-01
2022-02-18,016-033-722,465000,0,0,0,465000,Canon Mensual Arriendo Inmueble^2022-01-21_A6N-13N-62-S209^2006-03-21
2022-02-21,Efectivo,1785000,0,339150,0,2124150,Canon Mensual Arriendo Inmueble^2022-02-01_K1-17-53^2017-06-01
2022-02-22,Efectivo,1500000,0,0,0,1500000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-68^1999-02-01
2022-02-22,Efectivo,478000,0,0,0,478000,Canon Mensual Arriendo Inmueble^2022-02-20_A6N-13N-62-S210^2017-03-20
2022-02-24,Efectivo,458000,0,0,0,458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01
2022-02-24,Efectivo,458000,0,0,0,458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01
2022-02-24,Efectivo,458000,0,0,0,458000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S306^2018-06-01
2022-02-24,Efectivo,458000,0,0,0,458000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S306^2018-06-01
2022-02-24,Efectivo,314000,0,0,0,314000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S217^2018-12-01
2022-02-28,Efectivo,250000,0,0,0,250000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-68^1999-02-01
2022-02-28,Efectivo,347000,0,0,0,347000,Canon Mensual Arriendo Inmueble^2022-02-13_A6N-13N-62-S321^1996-08-13
2022-02-28,5911012873,1717000,60095,326230,0,1983135,Canon Mensual Arriendo Inmueble^2022-02-15_K1-17-43^2017-07-15
2022-02-28,003-193-745,2900000,101500,551000,0,3349500,Canon Mensual Arriendo Inmueble^2022-02-01_C18-1N-41^2021-02-01
2022-03-01,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S309^2022-03-01
2022-03-01,Efectivo,583000,0,0,0,583000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S212^2011-09-01
2022-03-01,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S303^2022-03-01
2022-03-01,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S308^2022-03-01
2022-03-01,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S111^2021-04-01
2022-03-02,Efectivo,270000,0,0,0,270000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-68^1999-02-01
2022-03-02,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S114^2021-09-01
2022-03-03,Efectivo,485000,0,0,0,485000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S207^2004-03-01
2022-03-03,Efectivo,638000,0,0,0,638000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S108^2016-12-01
2022-03-03,Efectivo,470000,0,0,0,470000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S319^2021-08-01
2022-03-04,Efectivo,850000,0,0,0,850000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S105^2021-09-01
2022-03-04,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S110^2021-09-01
2022-03-04,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S311^2021-11-01
2022-03-04,Efectivo,450000,0,0,0,450000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S109^2021-07-01
2022-03-07,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S201^2021-10-01
2022-03-07,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S208^2021-10-01
2022-03-07,Efectivo,790000,0,0,0,790000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S103^2020-06-01
2022-03-07,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S202^2021-10-01
2022-03-08,Efectivo,480000,0,0,0,480000,Canon Mensual Arriendo Inmueble^2022-03-09_A6N-13N-62-S219^2004-02-09
2022-03-08,Efectivo,940000,0,0,0,940000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S102^2021-10-01
2022-03-09,Efectivo,455000,0,0,0,455000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S314^2019-06-01
2022-03-09,003-193-745,2450000,85750,465500,0,2829750,Canon Mensual Arriendo Inmueble^2022-02-01_K1-17-57^2001-09-01
2022-03-09,Efectivo,840000,0,0,0,840000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S104^2021-08-01
2022-03-09,003-193-745,1190000,0,226100,0,1416100,Canon Mensual Arriendo Inmueble^2022-01-01_K1-17-37^2012-02-01
2022-03-09,Efectivo,785000,0,0,0,785000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S305^2021-02-01
2022-03-10,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S301^2021-08-01
2022-03-10,Efectivo,467000,0,0,0,467000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S214^2018-10-01
2022-03-10,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S302^2021-08-01
2022-03-11,Efectivo,730000,0,0,0,730000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-66^2019-04-01
2022-03-14,Efectivo,290000,0,0,0,290000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S318^2021-08-01
2022-03-14,003-193-745,478000,0,0,0,478000,Canon Mensual Arriendo Inmueble^2022-03-08_A6N-13N-62-S211^2017-03-08
2022-03-14,Efectivo,310000,0,0,0,310000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S315^2019-08-01
2022-03-15,016-033-722,465000,0,0,0,465000,Canon Mensual Arriendo Inmueble^2022-02-21_A6N-13N-62-S209^2006-03-21
2022-03-15,Efectivo,342000,0,0,0,342000,Canon Mensual Arriendo Inmueble^2022-03-15_A6N-13N-62-S221^2018-06-15
2022-03-16,Efectivo,650000,0,0,0,650000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S204^2021-09-01
2022-03-16,Efectivo,480000,0,0,0,480000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S322^2021-01-01
2022-03-16,Efectivo,490000,0,0,0,490000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S312^2017-06-01
2022-03-17,Efectivo,750000,0,0,0,750000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S205^2020-08-01
2022-03-22,Efectivo,1785000,0,339150,0,2124150,Canon Mensual Arriendo Inmueble^2022-03-01_K1-17-53^2017-06-01
2022-03-23,Efectivo,2000000,0,0,0,2000000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-68^1999-02-01
2022-03-23,Efectivo,560000,0,0,0,560000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S112^2015-04-01
2022-03-23,003-193-745,1520000,0,288800,0,1808800,Canon Mensual Arriendo Inmueble^2022-02-01_K1-17-37^2012-02-01
2022-03-23,Efectivo,1065000,0,0,0,1065000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-O1^2015-01-01
2022-03-23,003-193-745,19000,0,0,0,19000,Canon Mensual Arriendo Inmueble^2022-02-01_C18-1N-33^2021-10-01
2022-03-23,003-193-745,931000,0,180500,0,1111500,Canon Mensual Arriendo Inmueble^2022-03-01_C18-1N-33^2021-10-01
2022-03-23,003-193-745,1650000,57750,313500,0,1905750,Canon Mensual Arriendo Inmueble^2022-03-01_K1-17-47^2021-10-01
2022-03-23,003-193-745,2900000,101500,551000,0,3349500,Canon Mensual Arriendo Inmueble^2022-03-01_C18-1N-41^2021-02-01
2022-03-23,003-193-745,0,0,101500,0,101500,Canon Mensual Arriendo Inmueble^2022-04-01_C18-1N-41^2021-02-01
2022-03-25,Efectivo,496000,0,0,0,496000,Canon Mensual Arriendo Inmueble^2022-02-01_A6N-13N-62-S217^2018-12-01
2022-03-25,Efectivo,1100000,0,0,0,1100000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S101^2021-04-01
2022-03-28,Efectivo,70000,0,0,0,70000,Canon Mensual Arriendo Inmueble^2022-03-28_A6N-13N-62-S304^2022-04-01
2022-03-28,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S308^2022-03-01
2022-03-28,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S111^2021-04-01
2022-03-29,Efectivo,347000,0,0,0,347000,Canon Mensual Arriendo Inmueble^2022-03-13_A6N-13N-62-S321^1996-08-13
2022-03-30,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S203^2022-04-01
2022-03-31,Efectivo,720000,0,0,0,720000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-68^1999-02-01
2022-03-31,Efectivo,497000,0,0,0,497000,Canon Mensual Arriendo Inmueble^2022-03-01_A6N-13N-62-S207^2004-03-01
2022-03-31,5911012873,1717000,60095,326230,0,1983135,Canon Mensual Arriendo Inmueble^2022-03-15_K1-17-43^2017-07-15
2022-04-01,Efectivo,750000,0,0,0,750000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S205^2020-08-01
2022-04-01,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S309^2022-03-01
2022-04-01,Efectivo,583000,0,0,0,583000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S212^2011-09-01
2022-04-01,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S303^2022-03-01
2022-04-04,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S201^2021-10-01
2022-04-04,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S110^2021-09-01
2022-04-04,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S208^2021-10-01
2022-04-04,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S302^2021-08-01
2022-04-04,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S202^2021-10-01
2022-04-04,Efectivo,450000,0,0,0,450000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S109^2021-07-01
2022-04-05,Efectivo,467000,0,0,0,467000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S214^2018-10-01
2022-04-05,Efectivo,700000,0,0,0,700000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S304^2022-04-01
2022-04-05,Efectivo,0,0,234455,0,234455,Canon Mensual Arriendo Inmueble^2022-04-01_K1-17-53^2017-06-01
2022-04-05,Efectivo,390000,0,0,0,390000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S311^2021-11-01
2022-04-05,Efectivo,1000000,0,190000,0,1190000,Canon Mensual Arriendo Inmueble^2022-04-01_C18-1N-39^2022-03-01
2022-04-05,Efectivo,790000,0,0,0,790000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S103^2020-06-01
2022-04-05,Efectivo,470000,0,0,0,470000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S319^2021-08-01
2022-04-06,Efectivo,830000,0,0,0,830000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S301^2021-08-01
2022-04-06,Efectivo,940000,0,0,0,940000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S102^2021-10-01
2022-04-06,Efectivo,785000,0,0,0,785000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S305^2021-02-01
2022-04-07,Efectivo,850000,0,0,0,850000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S105^2021-09-01
2022-04-08,Efectivo,638000,0,0,0,638000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S108^2016-12-01
2022-04-08,Efectivo,480000,0,0,0,480000,Canon Mensual Arriendo Inmueble^2022-04-09_A6N-13N-62-S219^2004-02-09
2022-04-11,Efectivo,455000,0,0,0,455000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S314^2019-06-01
2022-04-11,Efectivo,290000,0,0,0,290000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S318^2021-08-01
2022-04-11,Efectivo,310000,0,0,0,310000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S315^2019-08-01
2022-04-11,Efectivo,530000,0,0,0,530000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S114^2021-09-01
2022-04-13,Efectivo,605000,0,0,0,605000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-S112^2015-04-01
2022-04-13,Efectivo,1065000,0,0,0,1065000,Canon Mensual Arriendo Inmueble^2022-04-01_A6N-13N-62-O1^2015-01-01
2022-04-18,003-193-745,2450000,85750,465500,0,2829750,Canon Mensual Arriendo Inmueble^2022-03-01_K1-17-57^2001-09-01
2022-04-18,003-193-745,478000,0,0,0,478000,Canon Mensual Arriendo Inmueble^2022-04-08_A6N-13N-62-S211^2017-03-08
2022-04-18,003-193-745,1520000,0,288800,0,1808800,Canon Mensual Arriendo Inmueble^2022-03-01_K1-17-37^2012-02-01
2022-04-18,003-193-745,1626750,63000,342000,0,1905750,Canon Mensual Arriendo Inmueble^2022-04-01_K1-17-47^2021-10-01
