code,accountable_ptr_id,doc_date,start_date,end_date,pending_date_value_dates
A6N-13N-62-S111^2022-07-01,A6N-13N-62-S111^2022-07-01,2022-07-01,2022-06-25,,"<QuerySet [<Date_Value: 01-07-2022 $650000 None^None>, <Date_Value: 01-01-2023 $700000 None^None>]>"
A6N-13N-62-S112^2015-04-01,A6N-13N-62-S112^2015-04-01,2015-04-01,2022-01-01,,"<QuerySet [<Date_Value: 01-04-2021 $560000 None^None>, <Date_Value: 01-04-2022 $605000 None^None>]>"
A6N-13N-62-S114^2021-09-01,A6N-13N-62-S114^2021-09-01,2021-09-01,2022-01-01,,"<QuerySet [<Date_Value: 01-09-2021 $530000 None^None>, <Date_Value: 01-09-2022 $590000 None^None>]>"
A6N-13N-62-S201^2021-10-01,A6N-13N-62-S201^2021-10-01,2021-10-01,2022-01-01,,<QuerySet [<Date_Value: 01-10-2021 $830000 None^None>]>
A6N-13N-62-S202^2021-10-01,A6N-13N-62-S202^2021-10-01,2021-10-01,2022-01-01,,<QuerySet [<Date_Value: 01-10-2021 $700000 None^None>]>
A6N-13N-62-S203^2020-10-01,A6N-13N-62-S203^2020-10-01,2020-10-01,2022-01-01,2022-01-31,<QuerySet [<Date_Value: 01-10-2021 $620000 None^None>]>
A6N-13N-62-S203^2022-04-01,A6N-13N-62-S203^2022-04-01,2022-04-01,2022-04-01,,<QuerySet [<Date_Value: 01-04-2022 $700000 None^None>]>
A6N-13N-62-S204^2021-09-01,A6N-13N-62-S204^2021-09-01,2021-09-01,2022-01-01,,"<QuerySet [<Date_Value: 01-09-2021 $650000 None^None>, <Date_Value: 01-09-2022 $720000 None^None>]>"
A6N-13N-62-S205^2020-08-01,A6N-13N-62-S205^2020-08-01,2020-08-01,2022-01-01,,"<QuerySet [<Date_Value: 01-08-2021 $750000 None^None>, <Date_Value: 01-08-2022 $830000 None^None>]>"
A6N-13N-62-S207^2004-03-01,A6N-13N-62-S207^2004-03-01,2004-03-01,2022-01-01,2022-03-31,"<QuerySet [<Date_Value: 01-03-2021 $485000 None^None>, <Date_Value: 01-03-2022 $497000 None^None>]>"
A6N-13N-62-S208^2021-10-01,A6N-13N-62-S208^2021-10-01,2021-10-01,2022-01-01,,<QuerySet [<Date_Value: 01-10-2021 $390000 None^None>]>
A6N-13N-62-S209^2006-03-21,A6N-13N-62-S209^2006-03-21,2006-03-21,2021-12-21,,"<QuerySet [<Date_Value: 21-03-2021 $465000 None^None>, <Date_Value: 21-03-2022 $476000 None^None>]>"
A6N-13N-62-S210^2017-03-20,A6N-13N-62-S210^2017-03-20,2017-03-20,2021-12-20,2022-03-19,<QuerySet [<Date_Value: 20-03-2021 $478000 None^None>]>
A6N-13N-62-S211^2017-03-08,A6N-13N-62-S211^2017-03-08,2017-03-08,2022-01-08,,"<QuerySet [<Date_Value: 08-03-2021 $467000 None^None>, <Date_Value: 08-03-2022 $478000 None^None>]>"
A6N-13N-62-S212^2011-09-01,A6N-13N-62-S212^2011-09-01,2011-09-01,2022-01-01,,"<QuerySet [<Date_Value: 01-09-2021 $467000 None^None>, <Date_Value: 01-09-2022 $650000 None^None>]>"
A6N-13N-62-S214^2018-10-01,A6N-13N-62-S214^2018-10-01,2018-10-01,2022-01-01,,<QuerySet [<Date_Value: 01-10-2021 $467000 None^None>]>
A6N-13N-62-S217^2018-12-01,A6N-13N-62-S217^2018-12-01,2018-12-01,2021-11-01,,"<QuerySet [<Date_Value: 01-12-2020 $472000 None^None>, <Date_Value: 01-12-2021 $496000 None^None>]>"
A6N-13N-62-S219^2004-02-09,A6N-13N-62-S219^2004-02-09,2004-02-09,2022-01-09,,"<QuerySet [<Date_Value: 09-02-2021 $468000 None^None>, <Date_Value: 09-02-2022 $480000 None^None>]>"
A6N-13N-62-S221^2018-06-15,A6N-13N-62-S221^2018-06-15,2018-06-15,2022-01-15,,"<QuerySet [<Date_Value: 15-06-2021 $342000 None^None>, <Date_Value: 15-06-2022 $370000 None^None>]>"
A6N-13N-62-S222^2022-06-01,A6N-13N-62-S222^2022-06-01,2022-06-01,2022-06-01,,<QuerySet [<Date_Value: 01-06-2022 $570000 None^None>]>
A6N-13N-62-S301^2021-08-01,A6N-13N-62-S301^2021-08-01,2021-08-01,2022-01-01,2022-07-31,<QuerySet [<Date_Value: 01-08-2021 $830000 None^None>]>
A6N-13N-62-S302^2021-08-01,A6N-13N-62-S302^2021-08-01,2021-08-01,2021-12-01,,"<QuerySet [<Date_Value: 01-08-2021 $700000 None^None>, <Date_Value: 01-08-2022 $780000 None^None>]>"
A6N-13N-62-S303^2022-03-01,A6N-13N-62-S303^2022-03-01,2022-03-01,2022-02-07,,<QuerySet [<Date_Value: 01-03-2022 $700000 None^None>]>
A6N-13N-62-S304^2022-04-01,A6N-13N-62-S304^2022-04-01,2022-04-01,2022-04-01,,<QuerySet [<Date_Value: 01-04-2022 $700000 None^None>]>
A6N-13N-62-S305^2021-02-01,A6N-13N-62-S305^2021-02-01,2021-02-01,2022-01-01,,"<QuerySet [<Date_Value: 01-02-2021 $750000 None^None>, <Date_Value: 01-02-2022 $785000 None^None>]>"
A6N-13N-62-S306^2018-06-01,A6N-13N-62-S306^2018-06-01,2018-06-01,2021-11-01,,"<QuerySet [<Date_Value: 01-06-2021 $458000 None^None>, <Date_Value: 01-06-2022 $458000 None^None>]>"
A6N-13N-62-S308^2022-03-01,A6N-13N-62-S308^2022-03-01,2022-03-01,2022-03-01,2022-05-31,<QuerySet [<Date_Value: 01-03-2022 $390000 None^None>]>
A6N-13N-62-S308^2022-07-01,A6N-13N-62-S308^2022-07-01,2022-07-01,2022-07-01,,<QuerySet [<Date_Value: 01-07-2022 $390000 None^None>]>
A6N-13N-62-S309^2022-03-01,A6N-13N-62-S309^2022-03-01,2022-03-01,2022-03-01,,<QuerySet [<Date_Value: 01-03-2022 $390000 None^None>]>
A6N-13N-62-S310^2021-12-01,A6N-13N-62-S310^2021-12-01,2021-12-01,2022-01-01,2022-01-31,<QuerySet [<Date_Value: 01-12-2021 $390000 None^None>]>
A6N-13N-62-S310^2022-07-01,A6N-13N-62-S310^2022-07-01,2022-07-01,2022-07-01,,<QuerySet [<Date_Value: 01-07-2022 $390000 None^None>]>
A6N-13N-62-S311^2021-11-01,A6N-13N-62-S311^2021-11-01,2021-11-01,2022-01-01,,<QuerySet [<Date_Value: 01-11-2021 $390000 None^None>]>
A6N-13N-62-S312^2017-06-01,A6N-13N-62-S312^2017-06-01,2017-06-01,2022-01-01,,"<QuerySet [<Date_Value: 01-06-2021 $490000 None^None>, <Date_Value: 01-06-2022 $530000 None^None>]>"
A6N-13N-62-S314^2019-06-01,A6N-13N-62-S314^2019-06-01,2019-06-01,2022-01-01,,"<QuerySet [<Date_Value: 01-06-2021 $455000 None^None>, <Date_Value: 01-06-2022 $500000 None^None>]>"
A6N-13N-62-S315^2019-08-01,A6N-13N-62-S315^2019-08-01,2019-08-01,2022-01-01,2022-06-30,<QuerySet [<Date_Value: 01-08-2021 $310000 None^None>]>
A6N-13N-62-S317^2022-06-01,A6N-13N-62-S317^2022-06-01,2022-06-01,2022-06-03,,<QuerySet [<Date_Value: 01-06-2022 $390000 None^None>]>
A6N-13N-62-S318^2021-08-01,A6N-13N-62-S318^2021-08-01,2021-08-01,2022-01-01,,"<QuerySet [<Date_Value: 01-08-2021 $290000 None^None>, <Date_Value: 01-08-2022 $323000 None^None>]>"
A6N-13N-62-S319^2021-08-01,A6N-13N-62-S319^2021-08-01,2021-08-01,2022-01-01,,"<QuerySet [<Date_Value: 01-08-2021 $470000 None^None>, <Date_Value: 01-08-2022 $524000 None^None>]>"
A6N-13N-62-S321^1996-08-13,A6N-13N-62-S321^1996-08-13,1996-08-13,2022-01-13,,"<QuerySet [<Date_Value: 13-08-2021 $347000 None^None>, <Date_Value: 13-08-2022 $372000 None^None>]>"
A6N-13N-62-S322^2021-01-01,A6N-13N-62-S322^2021-01-01,2021-01-01,2022-01-01,,<QuerySet [<Date_Value: 01-01-2022 $480000 None^None>]>
A6N-13N-66^2019-04-01,A6N-13N-66^2019-04-01,2019-04-01,2022-01-01,,"<QuerySet [<Date_Value: 01-04-2021 $730000 None^None>, <Date_Value: 01-04-2022 $790000 None^None>]>"
A6N-13N-68^1999-02-01,A6N-13N-68^1999-02-01,1999-02-01,2022-01-01,,"<QuerySet [<Date_Value: 01-02-2021 $2600000 None^None>, <Date_Value: 01-02-2022 $2720000 None^None>]>"
